'bras bu| Fruit
dngos po stong pa nyid|vacuité des choses substantielles
dngos por smra ba|école des réalistes
don|sens, but, objet
don byed nus pa|efficience causale d'un phénomène, doué d'efficience
don dam|réalité ultime
don dam gyi bden pa|réalité absolue ou ultime
don dam bden pa|réalité absolue ou ultime
don dam pa stong pa nyid|vacuité de l'ultime
don dam pa'i byang chub sems|bodhicitta absolue
don dam rig pa'i ye shes|sagesse de la conscience de la réalité ultime
don drug|six objets des sens
yul drug|six objets des sens
don gnyis|deux types de biens, deux buts (pour soi et autrui)
don gyi 'od gsal|claire lumière réelle ou de signification
don gyi mngon rtogs|réalisation parfaite du sens
don lnga|objets des sens(5)
don lnga|les cinq organes pleins
don lnga|cinq objets des sens
yul lnga|cinq objets des sens
don mthun pa|donner un enseignement correspondant aux besoins et capacités du disciple
don spyod pa|observer une conduite conforme au Dharma
dor ba med pa stong pa nyid|vacuité de ce qui ne doit pas être rejeté
dpa' bar 'gro ba'i ting nge 'dzin|recueillement héroïque
dpa' bo gcig pa|héros unique.
dpag bsam shing|arbre qui exauce les souhaits
dpag tshad|mesure de distance
dpal be'u|noud glorieux de vie infinie
dpe|exemple
dpe byad bzang po brgyad bcu|quatre-vingts signes mineurs d'un bouddha
dpe'i 'od gsal|claire lumière analogique
dpon gsas|Guide souverain (Bon)
dpyad sgom|méditation analytique
dpyod pa|analyse
drag po'i las|activité de subjugation ou courroucée
dran pa|attention, rappel, mémoire, réminiscence
dran pa nyer gzhag|fixation de l'attention
dran pa yongs dag|attention pure
dran pa'i dbang po|faculté du rappel, de l'attention
dran pa'i stobs|force de la mémoire
dran rdzogs|visualisation complète dès qu'on y pense
drang don|sens provisoire, sens interprétable
drang srong gi theg pa|véhicule des Ù?i, véhicule des sages (Bon)
dri|odeur
dri ma med pa'i sa|Immaculée (2eterre)
dri za|mangeurs d'odeurs, musiciens célestes, nom donné à l'être intermédiaire
dri za'i grong khyer|cité aérienne de gandharva
dri za'i sems can|l'être mangeur d'odeurs
dri'i skye mched|source des odeurs
dril bu|clochette rituelle
dril bu'i dbang|transmission de pouvoir de la clochette ou gha??a
drin bzo|rendre la pareille
drin dran|réfléchir à la bonté
drod|chaleur
drod gsher las skyes|naissance de la chaleur et de l'humidité
drod gsher skyes|naissance de la chaleur et de l'humidité
du ba|fumée (signe).
dud 'gro|animaux
dug gsum|3 poisons
dug lnga|5 poisons
dug gsum|trois poisons
dug lnga|cinq poisons
dung can ma|conque, partie inférieure de l'avadhuti
dung dkar g.yas 'khyil|conque blanche dextrogyre
dur bon|Bon des rites funéraires (Bon)
dur khrod chas brgyad|huit attributs des charniers
dus|temps
dus gsum|trois temps (passé, présent, futur)
dus mtha'i skad cig|instant ultime.
dwa phrug ma dang 'phrad pa lta bu|semblable aux retrouvailles de l'enfant égaré avec sa mère
dwangs ma|quintessence, éclat vital
dwangs ma dkar dmar|quintessences blanche et rouge
g.yen rgyu'i rlung|souffle au mouvement ascendant
g.yo|malhonnêteté, hypocrisie
g.yung drung|svastika
g.yung drung bon|Bön éternel ou du svastika (Bon)
g.yung drung sems dpa'|héros de l'esprit éternel
gang zag|personne, individu
gang zag 'dzin pa|préhension de la personne
gang zag gi bdag|soi individuel
gang zag gi bdag med|inexistence du "soi" de la personne
gang zag gi gdags gzhi|base de désignation du "soi" individuel
gang zag ldan mi 'du byed|formation de la "personne"
gang zag ma yin pa'i ldan mi 'du byed|formations autres que la "personne" (23)
gang zag smra ba|école des personnalistes
gang zag ya brgyad|huit types de personnes nobles
gangs ri pa|Haimavata (école)
gcer bu pa|école de "Ceux qui vont nus"
gcer grol|libération par l'attention nue, liberté sur l'instant, par la seule observation
gcod|la découpe, trancher
gcod yul|la découpe, trancher
gdams ngag brjed pa|oubli des instructions
gdams ngag dang mi ldan pa|ceux qui ne bénéficient pas des conseils oraux
gdams ngag gi dran pa|rappel des instructions
gdan gsum|trois sièges
gdangs|éclat lumineux
gdangs ma 'gags pa|nature lumineuse inobstruée
gdeng grol thog tu bca'|établir la confiance directe sur la base de la libération
gding pa|natte du moine
gdod ma'i gnas lugs|mode d'être primordial
gdod ma'i zad sa|domaine primordial de l'épuisement des phénomènes
gdong phyis|serviette pour le visage
gdugs|ombrelle
gegs|forces créatrices d'obstacles
gegs pa dang sdig pa sbyong|purification des obstacles et des actes non-vertueux
glad ya|offrandes présentées au défunt.
glang chen nyal stabs|posture de l'éléphant couché
gleng gzhi|textes introductifs
gling|continent-île
gling phreng|continents satellites
glog|éclair
glud gtor|gtor ma de rançon
glud|rançon.
gnas 'dren|rituel pour guider le défunt hors des destinées
gnas 'gyur|révolution du support
gnas brtan bcu drug|seize arhat
gnas brtan pa|école des Anciens
gnas dang gnas ma yin pa|pouvoir de connaître ce qui est fondé et ce qui ne l'est pas
gnas lugs|mode d'être, état naturel
gnas ma nges pa|incertitude quant aux lieux (dans le bardo).
gnas ma'i bu pa|Vatsiputriya (école)
gnas nas dbyung ba|mise hors rang
gnas pa|établi, stable, ferme, statique
gnas pa|établissement, ce qui est fondé
gnas pa|durée, stabilité
gnas pa gzhi'i bar do|état intermédiaire de la Base fondamentale (Bon)
gnas pa gzhi'i sgron ma|lampe de la Base qui demeure
gnas pa las mi bskyod pa'i dgra bcom pa|arhat inébranlable
gnas pa'i bskal pa|kalpa de maintien
gnas pa'i myang 'das|nirva?a statique
gnas pa'i ting nge 'dzin|recueillement de l'état calme
gnas skabs bzhi|les quatre périodes ou moments de l'existence.
gnas spar|«envol vers un lieu [bienheureux]»
gnas thams cad du 'phar ba|ceux qui bondissent en tous lieux
gnas yul nyer bzhi|vingt-quatre lieux sacrés
gnod pa la ji mi snyam ba'i bzod pa|supporter l'ingratitude d'autrui
gnod sbyin|classe de déités
gnod sbyin sde dpon bcu gnyis|douze généraux des yak?a
gnod sems|malveillance
gnyen po|antidote, contrecarrant, opposé
gnyen po 'du byed brgyad|huit antidotes (dans la méditation)
gnyen po mngon par 'du byed pa|application excessive d'antidotes
gnyen po mngon par 'du mi byed pa|non-application des antidotes
gnyid|sommeil, torpeur
gnyid kyi 'od gsal|claire lumière du sommeil
gnyid kyi gnas skabs|la période ou moment du sommeil
gnyid lam rmi lam gyi bar do|état intermédiaire du sommeil et des rêves
gnyis ka las skye ba|production à partir des deux à la fois (soi-même et autrui)
gnyis ldan|ère des deux quartiers
gnyis med|non-dualité
gnyis med rgyud|tantra non duels
go cha'i brtson 'grus|courage comme une armure
go rim|ordre séquentiel
goms pa|familiarisation, habituation, habitude, maîtrise
goms pa'i stobs|force de l'habitude (familiarité)
gong bu|boulettes d'offrandes
gong skyes|naissance à partir d'un ouf
gor gor po|quatrième stade embryonnaire
gos ma nges pa|incertitude quant aux vêtements (dans le bar do)
grang dmyal brgyad|huit enfers froids
grangs|le nombre
gri gug|couperet
grogs la nges pa med pa|incertitude quant aux compagnons (dans le bar do)
grol gzhi|Base de libération
grol lam|voie de la libération, Anuyoga (rNying ma)
grol lugs|mode de libération
grong 'jug|transfert en force dans la cité du corps
grong 'pho grong 'jug gdams pa|conseils oraux du transfert et de l'entrée dans la cité
grub chen|grand accompli
grub mtha'|"doctrine définitive", manuel de philosophie
grul bum|démon ravisseur de vitalité
gsal ba|clair, évident, manifeste, clarté
gsal bar snang cha|partie clarté ou apparence claire
gsal cha|l'aspect luminosité.
gsal stong dbyer med|indissociabilité de la vacuité et de la clarté
gsang ba gsum|trois secrets ou mystères
gsang ba'i dbang|transmission de pouvoir secrète
gsang sngags kyi sdom pa|voux tantriques
gsang sngags kyi theg pa|véhicule secret des mantra
gser gyi ri bdun|sept montagnes d'or quadrangulaires
gser gyi thur ma lta bu|semblable à une aiguille d'or
gser nya|poissons d'or
gshed dur|rituels de séparation du défunt d'avec les démons
gshed|démon s'attaquant aux défunts
gshin lcags|«démons tortionnaires des morts»
gshin rje|seigneurs de la mort
gshis ma skyes pa|Base d'essence non née
gsil byed|bâton de pèlerin
mkhar gsil|bâton de pèlerin
gso sbyong|purification des voux
gsol ba|supplication
gsol ba 'debs|prier
gson bdud|«démons des vivants»
gsum ldan|ère des trois quartiers
gsung gi rdo rje|vajra de la parole
gsung rab yan lag bcu gnyis|douze collections de textes ou douze corbeilles
gsung yig 'bru'i cho ga|rite de la syllabe-germe du verbe
gsur mchod|offrandes d'odeurs de nourriture brûlée
gtan la phab|instructions pratiques et détaillées, préceptes essentiels, profondes méthodes
man ngag|instructions pratiques et détaillées, préceptes essentiels, profondes méthodes
gter bdag|détenteur d'un trésor spirituel
gter ma|trésor spirituel
gter srung|protecteur d'un trésor
gter ston|découvreurs de trésors
gti mug|stupidité, illusion, égarement, confusion, ignorance
gti mug gi khams|tempérament confus ou stupide
gti mug med pa|absence d'illusion, sans confusion
gtong len|donner et recevoir
gtor ma|gâteau rituel conique
gtso sems|esprit principal
gtsug gtor|protubérance crânienne
gtsug lag khang chen pa|Mahaviharavadin (école)
gtsug tor|protubérance crânienne
gtum mo'i gdams pa|violent embrasement, "l'ardente" ou «féroce»
gtur bu|sac à vêtements monacal
yo byad kyi gos|sac à vêtements monacal
gya nom pa|excellence
gza'|planète, déité des forces planétaires
gzhal yas khang|palais divin
gzhan 'gyur bzhi|facteurs mentaux changeants(4)
gzhan dbang|nature dépendante
gzhan don|le bien d'autrui, le bien d'autrui pour objet
gzhan don rjes dpag|raisonnement inférentiel "pour autrui"
gzhan gyi dngos po stong pa nyid|vacuité de nature autre
gzhan la grags pa'i rjes dpag|inférence familière à l'opposant
gzhan la longs sku|corps de jouissance pour autrui
gzhan las skye ba|production à partir d'un autre phénomène
gzhan lus thabs lam|voie des moyens par le corps d'autrui (Anuyoga)
gzhan rkyen la ltos pa rnams|ceux qui dépendent des circonstances liées à autrui pour être libérés
gzhan rkyen la mi ltos pa rnams|les pratiquants qui ne dépendent pas des circonstances liées à autrui
gzhan sems shes pa'i mngon shes|connaissance de la pensée d'autrui
gzhan skyes|produit par un autre phénomène
gzhan stobs kyi grol ba|libération par la force d'autrui
gzhan stong|vide d'altérité
gzhan stong dbu ma pa|Madhyamika shentong (école)
gzhan stong|vacuité d'altérité
gzhi dge 'dun phal chen pa|Mulamahasa?ghika (école)
gzhi gnas brtan pa|école des Anciens originels
gzhi lam 'bras bu|Base, Voie et Fruit
gzhi ma grub pa|base de raisonnement non prouvée
gzhi med rtsa bral|sans fondement ni origine
gzhi snang 'od gsal gyi snang ba|vision de la claire lumière de la Base en manifestation
gzhi snang|épiphanie de la Base, Base en manifestation
gzhi thams cad yod par smra ba|Mulasarvastivadin (école)
gzhi'i 'char tshul brgyad|huit modes d'émergence de la Base
gzhi'i 'od gsal|claire lumière fondamentale, de la Base.
gzhi'i chos sku|Corps absolu de la Base
gzhi'i gnas lugs|mode naturel de la Base.
gzhi'i ye shes lnga|cinq sagesses fondamentales
gzhon nu bum sku|corps du vase de jouvence
gzigs stangs|mode de regard
gzugs|forme
gzugs khams gnas rigs|séjours des dieux du domaine de la forme pure
gzugs khams kyi bsam gtan bzhi|quatre dhyana de la forme pure
gzugs khams|domaine de la forme pure
gzugs kyi khams|domaine de la forme pure
gzugs kyi byang bu|effigie représentant le corps du défunt
gzugs kyi longs spyod|objets de jouissance physiques
gzugs kyi phung po|agrégat de la forme
gzugs kyi sku|corps formels
gzugs kyi skye mched|source des formes
gzugs med|sans forme
gzugs med khams kyi bsam gtan bzhi|quatre dhyana du sans-forme
gzugs med kyi khams|domaine du sans-forme
gzung 'dzin|sujet-objet (dualité)
gzung ba|objet "appréhendé"
gzung ba 'dzin pa|rétention
gzung ma|formule détentrice
gzung yul|objet préhensible
gzungs thag|cordelette à dhara?i
gzungs|mémoire.
had de ba|état de stupeur, frappé de stupeur
in dra ni la|saphir
ji lta ba mkhyen pa'i ye shes|sagesse qui connaît la réalité telle quelle
ji snyed pa mkhyen pa'i ye shes|sagesse qui connaît la réalité dans ses manifestations variées
ka dag|pureté primordiale, primordialement pur
ka dag chos sku'i 'od gsal|claire lumière du Corps absolu de pureté primordiale
ka dag gi dbyings|espace de pureté primordiale
ka dag gi sa|terre de pureté primordiale
ka dag khregs chod|trancher l'opacité de l'esprit au sein de la pureté primordiale
ke'u ri ma brgyad|les huit Gauri
kha btags|écharpe blanche en offrande.
kha byang|guide prophétique
kha dog|couleur
khams|élément, dimension, domaine
khams bco brgyad|dix-huit éléments
khams gsum|trois domaines du sa?sara
khams gyi zas|aliment grossier
khams lnga|les cinq éléments
khams sna tshogs|pouvoir de connaître les divers tempéraments des êtres
khong khro|colère-aversion
khra ma|calomnier
khra tshogs|fête bariolée
khrag mthung|déité courroucée
khregs chod|trancher l'opacité mentale, percer l'opacité de l'esprit
khrel med pa|manque de considération, irrespect humain
khrel yod pa|considération envers autrui
khrid|instructions pratiques
khro bo'i lha|déités courroucées
khrus gsol|aspersion purificatrice
khu ba|goutte essentielle masculine, sperme
khyab brdal|qui imprègne tout, omniprésent
khyab byed|probandum
khyab byed kyi rlung|souffle omnipénétrant
khyab pa|prémisse majeure
khyab pa 'du byed kyi sdug bsngal|souffrance omniprésente des états conditionnés
khyad par gyi dga' ba|joie éminente
khyim pa|maître de maison, laïc
skyes bo|maître de maison, laïc
khyim pa'i sdom|voux de laïcs
khyung|aigle mythique
klong|espace, vortex
klong sde|série de l'espace
klu|déités-serpents
klu'i rgyal po brgyad|huit rois naga
klu'i rlung|souffle du naga
kun 'byung|origine
kun 'byung gi bden pa|vérité sur l'origine de la souffrance
kun 'gro|omniprésence, facteur mental omniprésent
kun 'gro de bzhin nyid|tathata universelle
kun 'gro lnga|cinq facteurs mentaux omniprésents
kun 'gro'i rgyu|causes omniprésentes
kun 'gro sems byung|facteur mental omniprésent
kun brtags|désignation nominale imaginaire, imputation, entièrement  imaginaire
kun brtags mtshan nyid|nature entièrement imaginaire
kun btags 'khrul pa'i ma rig pa|ignorance imaginatrice illusionnante
kun btags ma rig pa|ignorance imaginatrice
kun gzhi|Base universelle
kun gzhi dag pa'i cha|partie pure de la base universelle
kun gzhi rnam shes|conscience base-de-tout, conscience base universelle, conscience tréfonds
kun khyab|qui embrasse tout
kun mkhyen|l'omniscience
kun rdzob|relatif, conventionnel
kun rdzob byang chub sems|bodhicitta relative
kun rdzob kyi bden pa|réalité relative, superficielle ou conventionnelle
kun rdzob sgyu lus|corps illusoire de réalité superficielle
kun rtags ma rig pa|ignorance imaginative
kun rtog|pensées discursives
kun sbyor|entraves, liens
kun shes byed pa'i dbang po|faculté d'accès à la connaissance
kun shes dbang po|faculté des connaissances supramondaines
kun shes ldan pa'i dbang po|faculté de la certitude de tout connaître
kun slong|motivation
kun tu snang ba ting nge 'dzin|samadhi de la luminosité omnipénétrante
ku sha|herbe kusa
la bzla ba|"franchir le col", transcender la vue des deux réalités
lam|voie, chemin
lam 'bras|Voie et Fruit
lam bstan pa|montrer la voie
lam gyi 'od gsal|claire lumière de la voie
lam gyi bden pa|vérité de la voie
lam gyi yan lag|pratiques secondaires de la voie
lam lnga|cinq voies
lan chags|dette karmique
lan chags bu lon|offrande de remboursement de la dette karmique
lan grangs gzhan la myong 'gyur gyi las|karman à résultat dans une vie ultérieure
las|action
las 'phro mthud pa|prolonger les fruits du karman
las bum|aiguière d'activité
las dang po sbyor ba'i ting nge 'dzin|recueillement de préparation initiale
las dkar po|acte vertueux
dge ba'i las|acte vertueux
las kyi 'bras bu|résultat du karman
las kyi lam|voie karmique, cheminement du karma
las kyi ngo bo bzhi|quatre caractéristiques essentielles du karma
las kyi phyag rgya|sceau de l'action
las kyi rigs|famille de l'action
las kyi rlung|souffles du karman
las kyi rnam par smin pa|pouvoir de connaître les résultats du karma
las kyi sgrib pa|obscurcissement du karman
las kyi phyag rgya ma|sceau d'action, yogini partenaire
las nag po|acte non vertueux
mi dge ba'i las|acte non vertueux
las rgyal mchog gi ting nge 'dzin|recueillement du Suprême Vainqueur des activités
lcang te'u|tambourin à double face et à boules fouettantes
lce'i dbang po|faculté de la langue
lce'i rnam shes|conscience de la langue (du goût)
lce'i skye mched|source de la langue
ldan min 'du byed|formations ne relevant ni de l'esprit ni de la matière
ldan min 'du byed du gyur pa'i las|karma apparenté aux formations dissociées de l'esprit et de la matière
le lo|paresse
legs pa'i blo gros|Excellente intelligence (9eterre)
legs sbyar|sanskrit (langue)
len gcig phyir 'ong ba|qui revient une fois
len pa|préhension
len pa'i phung po (lnga)|(cinq) agrégats d'appropriation
lha|dieux, déités
lha bsang|fumigations de génévrier offerte aux dieux.
lha ma yin|anti-dieux, titans
lha srin sde brgyad|huit classes de dieux et démons.
lha yul du lam bstan pa|montrer la voie du pays des dieux
lha'i bu'i bdud|démon des fils divins
lha'i mig mngon shes|connaissance de l'oil divin
lha'i nga rgyal|fierté divine
lha'i rna ba'i mngon shes|connaissance de l'oreille divine
lha'i rnal 'byor|yoga de la déité
lhag bcas myang 'das|nirva?a avec résidu
lhag bsam|pensée supérieure
lhag bsam dag pa'i sems bskyed|bodhicitta de pure intention
lhag ma|offrande restante
lhag med myang 'das|nirva?a sans restes, sans résidu
lhag mos kyi dkyil 'khor|ma??ala éminemment imaginé
lhag mthong|vision supérieure, vue profonde, vue pénétrante, vision éminente
lhan cig 'byung ba'i rgyu|cause coémergente
lhan cig skyes pa|inné, naturel, coémergent
lhan cig skyes pa'i 'dre|démon inné
lhan skyes 'dre|démon inné
lhan cig skyes pa'i 'od gsal gyi sems|esprit inné de claire lumière
lhan cig skyes pa'i dga' ba|joie innée ou simultanée
lhan skyes dga' ba|joie innée ou simultanée
lhan cig skyes pa'i lha|dieu inné ou co-émergent
lhan skyes lha|dieu inné ou co-émergent
lhan cig skyes pa'i ma rig pa|ignorance innée ou co-émergente
lhan skyes ma rig pa|ignorance innée ou co-émergente
lhan cig skyes pa'i ye shes|sagesse coémergente ou simultanée
lhas sbyin gyi rlung|souffle du don des dieux
lhod de bzhag pa|accéder à la détente de l'esprit
lhun grub|présence spontanée, spontanément accompli
lhun grub kyi 'char tshul brgyad|huit modes d'émergence de la présence spontanée
lhun grub kyi sgo brgyad|huit portes de présence spontanée
lhun grub rig 'dzin|vidyadhara spontanément accompli
lhun grub rin po che'i snang ba|vision de la précieuse spontanéité.
lhun grub thod rgal|franchissement du pic dans la présence spontanée
lhun grub ting nge 'dzin|recueillement de présence spontanée
lhung byed|bol à aumônes
li khri|cinabre
lkog gyur|phénomènes cachés, caractère caché des phénomènes
log g.yem|avoir un comportement sexuel déréglé, excès dans les plaisirs sensuels
log pa'i kun rdzob|réalité relative fausse
log par lta ba|vue fausse, opinion erronée
longs sku'i 'od gsal|claire lumière du Corps de jouissance
longs sku'i 'pho ba|transfert de conscience du Corps de jouissance
longs sku'i rgyan chas bcu gsum|treize ornements du sa?bhogakaya
longs spyod 'khor lo|roue de jouissance (gorge)
longs spyod kyi 'khor lo|roue de jouissance (gorge)
longs spyod rdzogs pa'i sku|corps de parfaite jouissance
longs sku|corps de parfaite jouissance
lta ba|vue, point de vue, vision, opinion
lta ba mchog 'dzin|surestimation d'une opinion
lta ba nyon mongs can|opinion erronée
lta sgom 'phro mthud pa|prolonger la Vue et la Méditation
lta stangs|mode de regard
ltar ltar po|troisième stade embryonnaire
ltung ba'i sgo bzhi|quatre portes de la chute
lugs ldog|ordre inverse des dissolutions
lung|tradition préservée, lecture orale, préceptes
lung bstan|textes prophétiques
lung gi tshad ma|connaissance valide par l'autorité des écritures
lung ma bstan gyi de bzhin nyid|telléité des choses neutres
lung ma bstan gyi las|acte neutre
lung ma btsan|neutre, indescriptible, indéterminé
lung|lecture orale d'autorisation
bka' lung|lecture orale d'autorisation
lus dben|isolement du corps
lus dran pa nyer gzhag|fixation de l'attention sur le corps
lus kyi dbang po|faculté du corps
lus kyi las|karma du corps
lus kyi rnam shes|conscience du corps
lus kyi sa bon|"semences corporelles"""
lus kyi shin sbyang|aise, souplesse du corps (dans la méditation)
lus kyi skye mched|source du corps
lus kyi snang lugs|mode d'apparition du corps
lus sems bde gnas kyi bsam gtan|dhyana où l'on demeure dans la félicité
lus sems bral ba|séparation du corps et de l'esprit
lus sems bral tshul|mode de séparation du corps et de l'esprit
lus tshor|sensations physiques
ma bcos|sans fabrications artificielles
ma bu 'phrad pa|la rencontre de la mère et du fils.
ma byin par len pa|prendre ce qui n'a pas été donné
ma chags pad+ma can gyi sa|terre aux lotus du non-attachement
ma dad pa|manque de foi, de confiance
ma dag pa'i sgyu lus|corps illusoire impur
ma dag pa'i snang|vision impure, apparence impure
ma gus pa|irrespect
ma la bu thim|fusion de (la claire lumière) fils dans la mère
ma mo|classe de déités féminines courroucées
ma nges pa'i las|karman indéterminé
ma nges pa'i rigs|lignées changeantes
ma nges pa'i rtags drug|six signes d'incertitude de l'état intermédiaire
ma pang du bu 'jug pa lta bu|comme l'enfant qui se réfugie dans le giron de sa mère
ma rgyud|tantra-mères ou féminins
ma rig pa|ignorance
ma yin dgag|négation déterminée
ma'i 'od gsal|claire lumière-mère
man ngag sde|série des préceptes
man ngag sde gsang ba'i skor|cycle secret du Man ngag sde.
man ngag sde phyi nang gi skor|cycles extérieur et intérieur du Man ngag sde.
man ngag sde yang gsang bla na med pa'i skor|cycle très secret et insurpassable du Man ngag sde.
mang bkur ba|Sa?mitiya (école)
mang ston pa|Mahisasaka (école)
mang thos pa|Bahusrutiya (école)
mar me|lampe, lumière
mar shes|reconnaître que tous les êtres ont été nos mères
mched pa|la vision de l'accroissement
mchod dpon|chef de cérémonie
mchod gtor|torma d'offrande
mchod pa|offrandes
mchod pa'i cho ga|offrandes, rituel d'offrandes
mchod rdzas|support matériel d'offrande, substance des offrandes
mchod rten|stupa, sanctuaire
mchod rten pa|Caityaka (école)
mchod yon|eau pour rafraîchir le visage et la bouche d'un hôte ou d'une déité
mchog gi de bzhin nyid|tathata suprême
mchog gi dngos grub|accomplissement suprême
mchog gi sprul sku|suprêmes nirma?akaya
mchog sbyin gyi phyag rgya|geste du don
mchog tu dga' ba|joie suprême
mdangs|éclat lumineux intérieur
mdo|discours du Bouddha, sutra
mdo sde pa|école des tenants des sutra
mdo sde spyod pa'i dbu ma pa|école des tenants des sutra de la Voie médiane
mdo sde spyod pa'i dbu ma rang rgyud pa|école des autonomes des sutra de la Voie médiane
mdo sde'i sde snod|corbeille des sutra
mdun bskyed|visualisation devant soi
mdzad pa bcu gnyis|douze actes d'un bouddha
me dang mnyam pa'i rlung|souffle égalisateur conjoint au feu
me dpung ltar 'chi lugs|mourir comme une masse de feu
me long|miroir
me long lta bu'i ye shes|sagesse du miroir ou semblable au miroir
me long nang gi gzugs brnyan|reflet dans un miroir
me tog|fleur
med dgag|négation absolue ou non affirmative
med mtha'|extrême du néant, nihilisme
med pa|inexistant
med pa gsal snang|clairement manifeste bien qu'inexistant
med pa'i sred pa|soif d'annihilation ou de non-existence
mer mer po|l'embryon oblong, 2e stade embryonnaire.
mi 'am ci|l'une des huit classes d'êtres
mi 'gyur|immuable
mi 'gyur rdo rje'i sku|corps de vajra immuable
mi 'jed ('byed) 'jig rten|monde "endurance" ou "inséparable"
mi 'jigs pa bzhi|quatre intrépidités
mi 'jigs pa'i sbyin pa|protection contre la peur
mi 'tso ba|non-violence
mi byin len|voler ou prendre ce qui n'a pas été donné
mi dge ba|non vertueux, immoral
mi dge ba bcu|dix actes non vertueux
mi dge ba skyes pa spong ba|abandon des actes non vertueux déjà produits
mi dge ba'i de bzhin nyid|telléité des choses non vertueuses
mi dge ba'i las|acte, karman non vertueux
mi dmigs pa stong pa nyid|vacuité de l'inappréhendable
mi g.yo ba|inébranlable
mi g.yo ba'i chos can gyi dgra bcom pa|arhat à la nature inébranlable
mi g.yo ba'i las|karman de stabilité
mi g.yo ba'i sa|Inébranlable (8eterre)
mi g.yo ba'i ting nge 'dzin|recueillement de l'immobilité
mi gnas pa|non statique, dynamique
mi gnas pa'i myang 'das|nirva?a non statique, dynamique
mi rigs|naissance humaine
mi rtag pa|impermanence
mi rtog pa|absence ou vide de pensée, absence de discursivité
mi rtog pa'i ye shes|sagesse non fictionnante
mi shigs pa'i thig le|goutte indestructible
mi slob pa'i lam|voie où il n'y a plus rien à apprendre
mi slob pa'i zung 'jug|union de celui qui n'est plus étudiant
mi'i seng ge'i gnas skabs|stade embryonnaire du lion des hommes
mig 'khrul|illusion d'optique
mig dbyings rig la gtad|fixer les yeux dans l'union Espace-Présence
mig gi dbang po|faculté de l'oil
mig gi rnam shes|conscience de l'oil
mig gi skye mched|source de l'oil
ming byang|carte du nom, effigie nominale
ming gi dbang|transmission de pouvoir du nom
ming gi tshogs|groupe nominal
ming gzugs|nom-et-forme
mjug bsdu ba|conclusion logique
mkha' 'gro gtad rgya|transmission confiée aux ?akini
mkha' 'gro ltar 'chi lugs|mourir comme les ?akini
mkha' 'gro ma|celles qui parcourent l'espace
mkha' 'od gsal la thim pa|dissolution de l'espace dans la claire lumière
mkha' spyod kyi 'pho ba|transfert de conscience dans les domaines célestes
mkhan po|abbé, précepteur érudit
mkhas pa|érudit
mkhrang|quatrième stade embryonnaire
mkhrang 'gyur|cinquième stade embryonnaire
mngal sgo 'dam pa'i gdams ngag|conseils concernant le choix d'une bonne matrice
mngal sgo 'gag pa'i thabs|techniques visant à fermer la porte de la matrice
mngal sgo bzang po 'dams|choisir une bonne matrice
mngal sgo khegs pa|fermeture de la porte des matrices défavorables
mngal sgo ngan pa rnams dgag pa|fermer l'accès aux matrices défavorables
mngal skyes|naissance par une matrice, viviparité
mngon brjod bag chags|empreintes produites par la parole
mngon byang gi sku|corps de l'Éveil manifeste
mngon byang lnga|les cinq éveils manifestes
mngon chos|connaissance supérieure, phénoménologie
mngon du phyogs pa|En vue de la réalité (6eterre)
mngon pa'i sde snod|corbeille de l'Abhidharma
mngon par 'du byed|acte voulu, activité manifeste
mngon par byang chub|réalisation manifeste
mngon par byang chub kyi rim pa|étape de l'Éveil manifeste
mngon par rdzogs par byang chub|parfait Éveil manifeste
mngon par rtogs pa|réalisation parfaite et effective
mngon par shes pa|connaissances supramondaines
mngon shes|connaissances supramondaines
mngon shes drug|six connaissances supranormales
mngon sum|perception directe ou évidence, intuition
mngon sum du snang ba cog bzhag|laisser-être des apparences manifestes
mnyam bzhag|méditation d'accès à l'égalité
mnyam bzhag gi phyag rgya|mudra de méditation
mnyam nyid ting nge 'dzin|recueillement d'égalité
mnyam nyid ye shes|sagesse de l'égalité
mnyam pa'i khams|tempérament équilibré
mnyam rdzogs|perfection d'égalité
mnyam rjes|méditation et post-méditation
mo dbang|facultés sexuelles féminines
mos gus|dévotion (confiance et respect)
mos gus|dévotion
mos pa|détermination, intérêt
mos pa|dévotion
mos pa sna tshogs mngon shes|pouvoir de connaître les diverses aspirations des êtres
mos pa spyod pa'i sems bskyed|bodhicitta activée par la foi
mos pas spyod pa'i sa|terre de l'engagement par conviction
mtha'|extrême
mtha' brgyad|huit extrêmes
mtha' bzhi|quatre extrêmes
mtha' gnyis|deux extrêmes
mtha' las 'das pa stong pa nyid|vacuité de ce qui est au-delà des extrêmes
mtha' ma nges pa|raison incertaine
mtha' med|infini, sans limites
mthang gos|vêtement de dessous monacal
mthar 'dzin pa'i lta ba|croyance aux extrêmes
mthar thug|aboutissement
mthar thug gi mngon rtogs|réalisation parfaite finale
mthar thug pa'i don dam|absolu ultime
mtho ris|ciel paradisiaque, royaumes célestes
mtho thog|Le sommet (Bon)
mthong chos myong 'gyur gyi las|karman à résultat dans cette vie
mthong lam|voie de la vision
mthong lam shes bzod skad cig bcu drug|seize instants de connaissance et d'acceptation
mthong spang|ce qui doit être abandonné lors de la voie de la vision
mthun pa'i don dam|absolu de comparaison, ou "par extension"
mthun par snang ba|objet apparent sur lequel les adversaires s'accordent
mtshal|vermillon
mtshams sbyor gyi rnam shes|conscience de jonction du moment de conception
mtshan bcas|avec caractéristiques
