bsgrub pa bka' brgyad|huit préceptes transmis (Nyingma)
tshogs drug gi 'char sgo|six portes de la perception
tshogs gnyis|deux rassemblements/collections (pas les 2 accumulations ??)
tshogs 'khor|cercle/festin/assemblée d'offrande (ganacakra)
tshogs lam|sentier d'accumulation
tshogs spyod|conduite du festin d'offrande
tshor ba|sensations (7ème des douze facteurs de la relation interdépendante)
tshul|veut dire aussi perspective (sngags kyi tshul)
tshul 'chos pa|(kuha), pour le roi des richesses (pas trouvé)
tshul khrims|éthique/discipline (une des six - ou dix - perfections)
ut+pala ltar gas pa|crevasses tel le lotus bleu  (utpala)
ya thog ring mo|long déclin (apakarsa)
yan gar ba|seul
yang dag|correct, juste, vrai, parfait authentique
yang dag pa'i mtha'|vraie limite
yang dag par rig pa|connaissance parfaite
yang dag rgyu ba|mouvant parfait
yang dag spong ba|"abandon correct (Sens non trouvé: trouvé ""mise en avant correcte"" ou ""manifestation correcte"")"
yang khrod|centre de retraite, ermitage
yang sos|reviviscence (samjira)
yas brtan|"descente successive (Sens non trouvé: trouvé quelque chose comme ""stable à partir du haut"")"
ye grol|libération primordiale
ye rgya|sceau de sagesse originelle (un des 3)
ye shes|sagesse primordiale/originelle (une des dix perfections)
ye shes lnga|les cinq sagesses primordiales/originelles
ye shes bla ma|Insurpassable sagesse originelle
ye shes sems pa|divinité de sagesse originelle
ye shes snang ba|5. Vision de sagesse originelle = difficile à conquérir
ye shes sngon du 'gro ba dang lhan cig rgyu ba (à vérifier en totalité)|[ses actions] sont précédées et accompagnées par la sagesse originelle + la vision de sa sagesse originelle est sans attache et sans obstacle et non voilée par rapport aux choses.passées, présentes, futures
ye thog|originel, premier (Trouvé: atemporel, immédiateté??)
ye thog gzhi'i dag|fondement originel pur de toute éternité
ye thog nyid nas|"de toute éternité; depuis toujours, depuis un temps sans commencement,"
yi dam|déité d'élection, de consécration
yi dwags|esprit avide
yi ge 'khor lo tshogs chen|13. Grande assemblée des cercles des lettres
yid ches dad pa|foi de conviction
yid kyi rnam shes|conscience mentale
yid la byed|activité mentale,  application mentale.
yid la mi byed|sans activité mentale, inapplication mentale.
yid mngon|perception mentale directe
yig chung|notes
yin lugs|façon/mode d'être
yo byad|possessions matérielles
yod mtha'|extrême d'existence
yod pa'i shes rab|.de présence
yon tan rdzogs|9. Perfection des qualités = bonne intelligence
yongs grub|le parachevé (parinispanna)
yul|objet, domaine, environnement
yul chen|site majeur
yul dang dus|espace (direction et temps ??)
zad pa|immersion , une des 21 catégories des attributs d'un Bouddha, (Vasu VIII, 36)
zag bcas|contaminé
zag med|non contaminé
zag med ngo bo nyid|essence sans écoulement / non contaminée
zag med sa bon|graines non contaminées
zag pa|écoulement (asvara) contamination
zag pa zad|à proclamer  la fin des écoulements
zag pa zad pa|du tarissement des écoulements, de la fin
zag pa zag pa'i mkhyen pa|connaissance de l'épuisement/du tarissement des écoulements. Connaissance de la fin.
zang ka thal byung|zang ka=non raffiné, brut, thal byung=réduit en poudre
zang thal|transparence = ma 'gag pa
zang zing sbyin|générosité de biens matériels
zhal lung|instructions orales
zhar byung|complément, annexe; accessoirement
zhen pa|fixation
zhen yul|objet conçu, objet d'appréhension, objet d'adhérence
zhi ba'i las|activité (rite) d'apaisement
zhi byed|apaisement, pacification
zhing khams|champ/terre pure
zil gnon|dominations (parmi les 21 catégories d'attributs d'un Bouddha)
zlo ba|"bond (dzokchen ??? Illisible) Sens non trouvé, Sens le plus ""proche"" ayant été trouvé: dépasser, passer au-delà.)"
rgyud sde bzhi|Les quatre classes de tantra
phrin las bzhi|Les quatre types d'activités ou de fonctions éveillées
snying thig|goutte essentielle
shes bya kun nam thams cad|tous les connaissables
bshad srol|tradition exégètique
bskal bzang|âge fortuné/d'excellence
skyel so|destination
rgyang ma|canal droit
kun brtags pa'i nyon mongs|perturbations (mentales) intellectuelles
kun sbyor|entrave
rked pa|en général: taille; mais dans (bar cha , p692): région pelvienne
skye bu dam pa|une personne admirable, sublime
chos kyi sku|corps de dharma/ de réalité
longs spyod rdzogs pa'i sku|corps d'expérience parfaite
sprul pa'i sku|corps d'émanation/ de manifestation
ngo bo nyid kyi sku|corps de nature essentielle
rdo rje'i sku|corps vajra/adamantin
dkyil 'khor gsum |les trois mandalas de l'anuyoga (bar cha p.750)
ye ji bzhin pa'i dkyil 'khor|mandala de l'ainsité originelle (l'un des trois mandalas de l'anuyoga)
rang bzhin lhun grub kyi dkyil 'khor|mandala de la nature spontanée (l'un des trois mandalas de l'anuyoga)
rtsa ba byang chub sems kyi dkyil 'khor|mandala de l'esprit d'éveil fondamental (l'un des trois mandalas de l'anuyoga)
byang chub sems kyi dkyil 'khor|mandala de l'esprit d'éveil (l'un des trois mandalas de l'anuyoga)
klong yangs pa|vastitude, immensité
bka'|parole, transmission
bka' bsgo ba|préceptes (bar cha p.760)
klong nag po rgyu med du smra ba|déclaration que l'espace noir est absence de cause (l'une des quatre divisions du vaste espace dans le dzogchen)
klong khra bo sna tshogs su smra ba|déclaration que l'immensité multicolore est diversité (l'une des quatre divisions du vaste espace dans le dzogchen)
klong dkar po sems su smra ba|déclaration que l'immensité blanche est esprit (l'une des quatre divisions du vaste espace dans le dzogchen)
klong rab 'byams rgyu 'bras la zlo ba|l'immensité qui dépasse la causalité (l'une des quatre divisions du vaste espace dans le dzogchen)
skur 'debs|dénégation, déni
kha lo sgyur|conducteur
kha skong|addition, supplément
'khrul ba|erreur
mkhan po|abbé
'khor|secondaire (bar cha p.685)
mkhas pa|sage, savant, scoliaste
mtha' gcig tu kha tshon gcod pa|parvenir à une décision univoque/ trancher de manière univoque
kha nang ltas cha|aspect de regard intérieur
kha sbyor yan lag bdun ldan gyi ye shes|sagesse originelle munie des sept attributs de l'embrassement/de l'union
khol bu|tronqué, partiel
rgyud ngang gzhung|écrits tantriques (l'une des trois divisions générales de la classe des instructions)
dgos pa|propos, dessein, objectif
bgegs|force hostile
rgyu|matériau (bar cha p.670)
dge bsnyen|ordination laïque, laïc/que
dge slob ma|religieuse postulante
grub thob|accompli (un)
grub chen|grand accompli/adepte
sgrub bya|1) adoption (litt. ce qui est à pratiquer); 2) objet/objectif à accomplir
'gyur ba'i sdug bsngal|souffrance du changement
rgyu'i rgyen|condition causale (ou racine)
dgongs gzhi|la pensée/intention profonde, la base de l'intention/intentionnelle
grub pa|créé/e (la forme de la déité)
rgyud|1)tantra (textes); 2)continuité; 3)esprit, continuum de l'esprit, continuum mental; 4)série.
yan lag rgyud|tantras auxiliaires
cha rgyud|tantras concordants
'phros pa'i rgyud|tantras additionnels
mdo sde|collection des soutras
rdog pa|habileté
cho ga zhib mo|rite détaillé
gzungs|souvenance, rétention, formule de souvenance
bla med rgyud|tantras insurpassables
rgyas pa'i bla med rgyud|tantra insurpassable développé (l'une des divisions racines des annuttara tantra)
bsdus pa'i bla med rgyud|tantra insurpassable résumé (l'une des divisions racines des annuttara tantra)
phyi ma'i yan lag rgyud|tantras auxiliaires de continuation
phyi ma'i phyi ma'i yan lag rgyud|tantras auxiliaires de continuation de la continuation
gsal bar byed pa'i bshad rgyud|tantras explicatifs d'élucidation
kha skong ba'i bshad rgyud|tantras explicatifs complémentaires
go rim du sdeb pa'i bshad rgyud|tantra explicatif d'ordonnancement
bsdus ston pa'i bshad rgyud|tantra explicatif abrégé
bshad thabs gyi yan lag gi bshad rgyud|tantra explicatif des instructions sur les méthodes d'explication
sgyu|hypocrisie, vantardise (manifester des vertus que l'on a pas)
gleng slong ba lnga|les cinq préliminaires (dans l'exposé des tantras insurpassables/incomparables) (bar cha p. 717)
rgyan bdun|les sept ornements (méthodes d'exposition des tantras insurpassables/incomparables) (bar cha p.717)
dgongs pa can|intentionnel (bar cha 719)
dgongs pa can min|non-intentionnel (bar cha 719)
sgra ji bzhin|littéral, classique
sgra ji bzhin ma yin|non-littéral, non classique
mgrin gcig tu|d'une seule voix, unanimement
dngos gzhi|plan principal (recueillement proprement dit)
nges don|sens définitif
ngo bo nyid kyi mtshan ma|signes de la nature essentielle (bar cha 684)
dngos|existence réelle
nga rgyal med|sans préjugés (smad cha 501); sans arrogance
sngon byung gi rnam thar|les évènements passés (c.a.d la vie/l'éveil du Bouddha - bar cha 717)
mngon sum lhun grub|présence spontanée (bar cha 753)
chos 'byung|source de la réalité
chos shes|connaissance de la doctrine
chos bzod|acquiescement à la doctrine
chos can|objets du monde phénoménal; thème
'jig tshogs|collection destructible/ensemble transitoire
'jig tshogs la lta ba|vue relative à la collection destructible (l'une des cinq vues)
rjes bzod|acquiescement consécutif
rjes shes|connaissance consécutive
nying mtshams sbyor ba|réincarnation, reliaison, renaissance (jonction avec la nouvelle vie)
nyon mongs gyi rnam rtog|discursivité des passions
snyem|régime (de bananes); épi (smad cha 250)
rton pa bzhi|les quatre confiances
lta ba|vue, perspective
mthar 'dzin pa'i lta ba|vue extrême (l'une des cinq vues)
log par lta ba |vues fausses (l'un des cinq types de vue)
lta ba mchog tu 'dzin pa|Surestimation des vues/tenir une vue pour suprême (l'une des cinq vues)
tshul khrims dang brtul zhugs mchog tu 'dzin pa'i lta ba|vue qui surestime les règles/codes de conduite et les observances (l'une des cinq vues)
lta ba lnga|les cinq vues
ting nge 'dzin gsum|les trois absorptions
dang po sbyor ba|application initiale (absorption)
las rgyal mchog|suprême roi des actes (absorption)
stong pa bzhi|les quatre vides/vacuités
stong pa|vide (un des quatre vides)
shin tu stong ba|très vide (un des quatre vides)
stong pa chen po|grand vide (un des quatre vides)
thams cad stong pa|vide total (un des quatre vides)
rtog ge|logique, argument, sophisme (bar cha 740)
rtog ge pa|logicien, dialecticien
rten 'brel bcu gnyis|les douze facteurs de la relation interdépendante
ma rig pa|ignorance (1er des douze facteurs de la relation interdépendante)
rten 'brel yan lag bcu gnyis|les douze facteurs de la relation d'interdépendance
ming gzugs|nom et forme (4ème des douze facteurs de la relation interdépendante)
reg pa|le contact (6ème des douze facteurs de la relation interdépendante)
srid pa|existence, devenir (10ème des douze facteurs de la relation interdépendante)
rga shi|vieillesse et mort (12ème et dernier des douze facteurs de la relation interdépendante)
gtam gyi sbyor ba|discussion initiale (sur la raison de la divulgation d'un tantra) (bar cha 717)
gtan tshigs chen po bzhi|les quatre grands raisonnements (du mahayoga)-1) rtogs pa bzhi; 2) dag pa gsum;3) mnyam pa bzhi; 4) bdag nyid chen po
rtogs pa bzhi|(grand raisonnement) des quatre compréhensions (un des quatre grands raisonnements du mahayoga)
dag pa gsum|(grand raisonnement) des trois puretés - (un des quatre grands raisonnements du mahayoga)
mnyam pa bzhi|(grand raisonnement) des quatre égalités - (un des quatre grands raisonnements du mahayoga)
bdag nyid chen po|1) (grand raisonnement) de la grande présence - (un des quatre grands raisonnements du mahayoga); 2) authentique nature
theg dman|Petit véhicule; véhicule limité; véhicule inférieur;
thabs la mkhas pa|habileté/expert dans/en les méthodes
thams cad rnam 'byor gyi sems bskyed|esprit d'éveil du yoga total (bar cha 671)
mtha' rten|appendice (bar cha 673)
mtha' lam|sentier de consommation
mtha' |limite
mtha' drug|les six limites (critères d'exposition des tantras incomparables) (bar cha 717)
sde pa|ordre, école
ldog cha'i dbye ba|division conceptuelle (ex. l'opposé du vase est ce qui apparaît à la pensée, c.a.d: la forme du vase)
sdom brtson|un religieux à l'éthique correcte (litt. qui s'efforce dans les voeux)
drang don|sens interprétable, provisoire
dam tshig|promesses, promesses solennelles, engagement
'du byed gyi sdug bsngal|souffrance des composants
sdug bsngal gyi sdug bsngal|souffrance de la souffrance
gdod ma'i chos nyid|vraie nature primordiale (bar cha 690)
'dod chags|désir-attachement
dran med|inconscience (lors de nyer thob)
'dod pa'i lha|déité d'élection (smad cha 522)
ldem po|indirect
don spyi|universaux (?)(bar cha 500)
gdeng bzhi|les quatre assurances (de l'atiyoga) 1) ngan song la bag mi tsha ba 2) rgyu 'bras rnam smin la mi re ba 3) thob bya la re ba med pa 4) dga' drod mnyam pa nyid dag pa
ngan song la bag mi tsha ba|ne pas craindre les mauvaises destinées (une des quatre assurances de l'atiyoga)
rgyu 'bras rnam smin la mi re ba |ne pas espérer la maturation des causes et des effets (l'une des quatre assurances de l'atiyoga)
thob bya la re ba med pa |de pas espérer l'objet à atteindre (l'une des quatre assurances de l'atiyoga)
dga' drod mnyam pa nyid dag pa|pureté de la joie dans l'égalité (l'une des quatre assurances de l'atiyoga)
gnas lugs yang dag pa|mode d'être authentique; configuration (cf. description de l'univers)
rnam rtog spros|prolifération/foisonnement conceptuel
rnal 'byor bzhi|les quatre yogas de la phase de génération. 1) rnal 'byor; 2) rjes su rnal 'byor; 3) shin tu rnal 'byor; 4) rnal 'byor chen po
rjes su rnal 'byor|yoga subséquent (2ème yoga de la phase de génération)
shin tu rnal 'byor|yoga extrême (3ème yoga de la phase de génération)-Atiyoga
rnal 'byor chen po|grand yoga (4ème yoga de la phase de génération)
gnas skabs bzhi|les quatre stades de la phase de génération: 1) las dang po ba; 2) ye shes pheb pa; 3) ye shes la dbang ba; 4) ye shes la ches dbang ba
las dang po ba|débutant (1er stade de la phase de génération)
ye shes pheb pa|descente de la sagesse originelle/première/primordiale (2éme stade de la phase de génération)
ye shes la dbang ba|maîtrise de la sagesse originelle/première/primordiale (3ème stade de la phase de génération)
ye shes la ches dbang ba|grande maîtrise de la sagesse originelle/première/primordiale (4ème stade de la phase de génération)
rnam bcas phyag rgya chen mo|grand sceau/mahamudra avec forme
rnam med phyag rgya chen mo|grand sceau/mahamudra sans forme
gnas ngan len|mauvaises tendances, tendances nocives
rnam par rig byed|information
rnam grol lam|voie de la délivrance
rnam thar sgo gsum|les trois portes de la délivrance: 1) stong nyid; 2) mtshan med; 3) smon med
mtshan med|absence de signes (l'une des trois portes de la délivrance)
smon med|absence de prise en considération (l'une des trois portes de la délivrance)
rnal ma|originel, état naturel
rnal ma yang dag|état naturel authentique
gnas pa bzhi|les quatre séjours: 1) dans la sphère; 2) dans l'eau; 3) dans la forme; 4) au-delà de la forme
rnal 'byor lnga|les cinq yogas de l'anuyoga: 1) 'dun pa sems pa'i rnal 'byor; 2) rigs chen 'byed pa'i rnal 'byor; 3) dbugs chen 'byin pa'i rnal 'byor; 4) lung chen thob pa'i rnal 'byor; 5) rtsal chen rdzogs pa'i rnal 'byor  (bar cha 751)
'dun pa sems pa'i rnal 'byor|yoga de l'esprit d'aspiration (sentier d'accumulation): (un des cinq yogas de l'anuyoga)
rigs chen 'byed pa'i rnal 'byor|yoga d'ouverture à la grande famille (sentier de préparation) : (un des cinq yogas de l'anuyoga)
dbugs chen 'byin pa'i rnal 'byor|yoga du don de la grande inspiration (sentier de la vision) : (un des cinq yogas de l'anuyoga)
lung chen thob pa'i rnal 'byor|yoga de la réception de la grande prophétie (sentier de la méditation) : (un des cinq yogas de l'anuyoga)
rtsal chen rdzogs pa'i rnal 'byor|yoga de l'achèvement de la grande force expressive (sentier de la non-étude) : (un des cinq yogas de l'anuyoga)
rnal 'byor gsum|trois yogas (anuyoga - bar cha 751) : 1) rgyu'i rnal 'byor; 2) rkyen gyi rnal 'byor; 3) 'bras bu'i rnal 'byor
rgyu'i rnal 'byor|yoga de la cause (un des trois yogas de l'anuyoga)
rkyen gyi rnal 'byor|yoga de la condition (un des trois yogas de l'anuyoga)
'bras bu'i rnal 'byor|yoga du fruit (un des trois yogas de l'anuyoga)
snang ba bzhi|les quatre visions de thöguel (ati): 1) chos nyid mngon sum gyi snang ba; 2) nyams snang gong tu 'phel ba'i snang ba; 3) rig pa tshad phebs kyi snang ba; 4) chos nyid du 'dzin pa zad pa'i snang ba
chos nyid mngon sum gyi snang ba|vision directe de la vraie nature (1ère des quatre visions de thöguel - atiyoga)
nyams snang gong tu 'phel ba'i snang ba|accroissement de l'expérience (2ème des quatre visions de thöguel - atiyoga)
rig pa tshad phebs kyi snang ba|atteinte de la présence éveillée (3ème des quatre visions de thöguel - atiyoga)
chos nyid du 'dzin pa zad pa'i snang ba|cessation de la saisie de la vraie nature (4ème des quatre visions de thöguel - atiyoga)
rnam dbye|division, distinction, analyse
sbyor ba|application (une des quatre pratiques des tantras de l'action); mise en ouevre (une des cinq facteurs d'une voie d'action)
sgrub pa'i spyod pa|mise en oeuvre des accomplissements (une des quatre pratiques des tantras de l'action)(bar cha 714)
spros pa'i mtshan ma|signes de fabrications /discursivité/ proliférations conceptuelles (bar chad 736)
spyi ldog nas|dans l'optique [de catégories] générales (bar cha 739)
spyi ti|essentiel (tantra) (bar cha 762)
phar phyin bcu|les dix perfections
sbyin pa|générosité (une des six - ou dix - perfections)
smon lam|souhaits, prières (une des dix perfections)
stobs|force (une des dix perfections)
phyag rgya'i rjes su 'gro ldog can|...requiert absolument un sceau (bar cha 704)
phrin las bcu|Les dix (types d') activités éveillées
zhi ba|apaisement (un des dix types d'activité éveillée)
rgyas pa|(un des dix types d'activité éveillée)
dbang|domination (un des dix types d'activité éveillée)
bsad|meurtre (un des dix types d'activité éveillée)
dgug|attraction (un des dix types d'activité éveillée)
bskrad|expulsion (un des dix types d'activité éveillée)
dbye ba|division (un des dix types d'activité éveillée)
skugs |stupéfaction (un des dix types d'activité éveillée)
smyo|rendre fou (un des dix types d'activité éveillée)
mngan pa|suppression (un des dix types d'activité éveillée)
phyam gdal|s'étendre à l'ouverture totale; s'ouvre dans l'immensité totale
phyogs 'dzin|adhésion à une position
sbyor ba'i tshul|correspondance
dbu ma|canal central
bar chad med lam|voie ininterrompue
'bras gnas |résidence/résident dans le fruit
bag nyal sgrib|occultation/voile latent(e) (smad cha 488)
dbang sgyur ba'i 'khor los sgyur ba'i rgyal po|puissant souverain à la roue
byed las|fonction; effet (smad cha 243)
sbobs pa|confiance (bar cha 723)
blos bslangs pa'i dkyil 'khor|mandala tri-dimensionnel
byang chub sems|esprit d'éveil; fluide séminal; sperme; kunda
bag yod|attention soutenue
blo bral|affranchi de la pensée différenciatrice
be'u bum|Pis de la vache
be'u bum sngon po|Livre bleu (livre ancien de la tradition kadampa - catégorie blo sbyong-)
mi lcogs med|non incapable (préparation au 1er recueillement)
mi 'da' ba|non dépourvu/séparé de (bar cha 675)
mu bzhi|quatre possibilités (de production)
mos pa yid byed gyi tshul gyis|au moyen de l'imagination délibérée
rtsa dbu ma|canal central
tshad du phyin pa|pleinement développé
mtshungs ldan|concordant/ce, concomitant, correspondant, associé; identique, pareil
tshig gi bzhugs tshul|organisation scripturale
tshad ldan|faire autorité (dans le sens: être une référence)
tshig gam yi ge'i don|sens des mots ou lettres (un des quatre modes d'exposé des tantras incomparables)
spyi'i don|sens général (un des quatre modes d'exposé des tantras incomparables)
sbas pa'i don|sens caché (un des quatre modes d'exposé des tantras incomparables)
mthar thug pa'i don|sens final (un des quatre modes d'exposé des tantras incomparables)
tshad du phyin|perfection (bar chad 760)
rdzas|substance; instrument (pour l'initiation) (bar chad 727)
mi la ras pas|Milarépa, Vêtu de coton, le yogi et poète du onzième siècle disciple de Marpa le traducteur, lequel est le précurseur de la tradition Kagyü.
khyung po rnal 'byor|Kyungpo Naljor (le yogi du clan Khyung), né en 1089. Initialement un érudit bönpo, il embrassa le système de la grande perfection. Il voyagea à plusieurs reprises en Inde et au Népal, étudia avec cent cinquante maîtres. Parmi eux, les frères Phamtingpa (pham ting pa), Vajrasana, Maitripa, la dakini Sukhasiddhi élève de Virupa, Niguma soeur de Naropa. Il introduisit au Tibet les six yogas de Niguma, Mahakala à six bras et de nombreux tantras. il est l'initiateur de la lignée Shangpa Kagyü. On dit qu'il eut quatre-vingt mille disciples et vécut cent cinquante ans.
dus gsum mkhyen pa|Dusum Khyenpa (1110-1193), fut l'incarnation de plusieurs maîtres indiens et tibétains. Célèbre pour ses pouvoirs et son érudition, il fonda le monastère de Tshurpu (mtshur phu), siège principal de ses incarnations suivantes.
gter ston|Les tertön, découvreurs de trésors, sont les maîtres qui mettent au jour des textes, reliques, transmissions d'enseignements cachés par Padmasambhava (Guru Rinpoché) et sa parèdre Yéshé Tsogyal (ye shes mtsho rgyal).
sman ri|Menri est le siège du bön dans la province du Tsang (gtsang).
sde dge|A Dergé, Tibet oriental, se trouvait la forteresse des rois de Dergé ainsi que Pal Lhundrup Tengi Chödra (dpal lhun grub steng gi chos drwra), un monastère fondé en 1448 par le grand mystique Thangtong Gyalpo (thang stong rgyal po, 1385-1509).
ma bu dgra grogs|Mapu Dradok, les deux cycles des cinq énergies élémentaires, ou les mouvements qui régulent les transformations du monde extérieur (climat...) et la physiologie humaine. Chaque énergie est associée à l'élément duquel elle se rapproche dans sa fonction et sa nature et tire son nom : bois, feu, terre, métal, eau. Le cycle créateur est celui de la génération, comme la relation mère-fils : l'eau engendre    le bois,   le bois produit le feu, le feu la terre, la terre le métal, le métal se dissout pour devenir eau. Le cycle de contrôle est celui de l'assujettissement : le bois est supprimé par le métal, le feu éteint par l'eau, la terre pénétrée par le bois, le métal fondu par le feu et l'eau obstruée par la terre. Ces relations sont utilisées dans les calculs astrologiques de prévisions et renseignent à la fois sur le présent et l'avenir.
kong po|Kongpo, région située au sud-est du Tibet, et proche du lieu de pouvoir Pémakö (padma bkod).
pa gor|Vairocana de Pagor (pa gor), un des plus éminents disciple de Guru Rinpoché et célèbre traducteur. Il voyagea souvent en Inde, où il reçut les trois séries des enseignements de la grande perfection. De retour au Tibet, il transmit au roi Trisong Déutsen (khri srong lde'u btsan) et à sa cour les doctrines ésotériques. Ceux qui brûlaient de jalousie le firent exiler au Tibet oriental. Il s'établit et prêcha à Gyalrong (rgyal rong) jusqu'à son rappel au Tibet central. Là, il joua un rôle de premier plan comme enseignant.
'jam dbyangs mkhyen brtse'i dbang po|Jamyang Khyentsé Wangpo (1820-1892), naquit à Dergé. Il étudia au monastère nyingmapa de Mindroling (smin grol gling), et dans plusieurs institutions sakyapas, et devint l'un des plus accomplis parmi les maîtres de XIXe siècle.
kun dga' snying po|Taranatha (1575-1634), de son vrai nom Kungpa Nyingpo (kun dga' snying po), est né dans une famille de traducteurs. Disciple de l'accompli indien Buddhagupta, il devint historien, traducteur et un brillant savant de l'école Jonang. On lui doit de nombreux ouvrages aussi bien sur l'histoire que de caractère tantrique, tels ses manuels sur le tantra de Kalacakra. Il traduisit et révisa quelque quatre-vingt dix textes des commentaires au canon (bstan 'gyur). Il contribua de manière significative à la transmission d'enseignements et lignées tantriques. Il mourut en Mongolie, où il avait été invité. Bien que l'école Jonang fut interdite après sa mort par le gouvernement du Ve Dalaï Lama, son influence demeure importante dans chaque domaine du bouddhisme tibétain.
o rgyan gter bdag gling pa|Orgyen Terdak Lingpa (1617-1682), fut à la fois le disciple et le maître du Ve Dalaï Lama. Son oeuvre est essentielle pour les transmissions nyingmapas. En 1676 il fonda Mindroling, une institution monastique réputée.
klu mes tshul khrims shes rab|Lumé Tsultrim Shérab, une figure majeure pour la préservation et la transmission de la discipline au Tibet, suite à la persécution du bouddhisme par Langdarma (glang dar ma).
sum pa mkhan po ye shes dpal 'byor|Sumpa Khenpo Yéshé Paljor (1704-1788), né en Amdo, fut un auteur renommé qui écrivit sur divers sujets, la médecine, l'astrologie, l'histoire, le bouddhisme.
rdo rje phur ba|Vajrakilaya (rdo rje phur ba) est une déité tantrique très populaire dans les écoles Nyingma,   Sakya et Kagyü.
thod rgal|Bondir par-dessus (thod rgal) est la phase finale dans la pratique de la grande perfection, la lumière intérieure se manifeste alors à l'extérieur.
phag mo|Varahi (phag mo) est une déité tantrique féminine et la parèdre de Cakrasa?vara.
mi pham rgya mtsho|Mipham Gyatso (1846-1912) tint, au XIXe siècle, un rôle majeur dans la reconnaissance de la tradition Nyingma au Tibet oriental. Savant d'envergure, on lui doit une trentaine d'ouvrages couvrant divers sujets ; la médecine, la poésie, la peinture, la philosophie, les tantras.
a 'dzom 'brug pa|Adzom Drukpa (a 'dzom 'brug pa, 1842-1924), élève du premier Khyentsé et maître du second. Visionnaire et découvreur de trésors, à trente ans il reçut la vision de Jigmé Lingpa ('jigs med gling pa). C'est un personnage d'importance dans la tradition de la Quintessence de l'immensité (klong chen snying thig) de Longchenpa.
dpal sprul|Patrul Rinpoché (dpal sprul, 1808-1897), érudit et accompli de la grande perfection. Une figure hautement respectée dont l'exemple continue d'inspirer les pratiquants.
bu ston|Butön (bu ston), compilateur du canon tibétain ; indécis quant à leur authenticité, il en exclut les tantras nyingmapas.
bsil ba'i tshal|Un site indien, auparavant lieu de crémations, associé à Mahakala.
rgyal dbang 'brug chen|Drukpa Rinpoché, le IXe Gyalwang Drukchen (rgyal dbang 'brug chen), Jigmé Mingyur Wangyal ('jigs med mi 'gyur dbang rgyal, 1823-1883), fut le hiérarque de l'école Drukpa Kagyü et un proche du XIVe Karmapa.
dbang phyug rgyal po bshad grwa|Shédra (dbang phyug rgyal po bshad grwa), premier ministre (sde srid) à l'époque du XIIe Dalaï Lama.
bkra shis lhun po|Tashi Lhunpo (bkra shis lhun po), fondé en 1446 par Gendun Drup (dge 'dun grub, 1391-1474), le Iier Dalaï Lama, fut le siège des incarnations du Panchen Lama, dont le quatrième, Losang Chögyan (blo bzang chos rgyan 1567-1662).
nya rong|Nyarong (nya rong), au Tibet oriental, sud de Dergé.
gdong sprul mkhas mchog ngag dbang dam chos rgya mtsho|Dongkam Tülku. Il fut de ceux auxquels Jamgön Kongtrül confia ses enseignements.
tsong kha pa|Tsongkhapa (tsong kha pa, 1357-1419), savant et maître accompli à l'origine de l'école des nouveaux Kadampas ou Gadenpas (dga' ldan pa) -autre appelation des Gelukpas- qui doit son nom au monastère de Ganden, qu'il fonda.
klong chen pa|Longchenpa (klong chen pa, 1308-1363), le plus éminent maître de la grande perfection après Guru Rinpoché. Pratiquant de premier ordre, philosophe, il systématisa la pensée de cette approche. Il est l'auteur de deux cent soixante-trois oeuvres, parmi lesquelles les Sept Trésors sont les plus importantes.
sa gter|Les trésors de la terre (sa gter) se présentent généralement sous forme de rouleaux. "Terre", pour la raison que leur écriture symbolique est l'instrument qui réveille le souvenir de leur enseignement dans l'esprit du découvreur. Les trésors de l'esprit (dgongs gter) émergent de l'esprit conscient des découvreurs, élèves accomplis de Guru Rinpoché ou d'autres mentors.
nyang ral nyi ma'i 'od zer|Nyangrel Nyimé Özer (nyang ral nyi ma'i 'od zer, 1124-1192) fut, avec Guru Chöki Wangchuk (guru chos kyi dbang phyug, 1212-1270) le premier découvreur de trésors du Tibet. Tous deux sont connus comme soleil et lune, et ce qu'ils ont mis au jour, les trésors du haut et du bas (gter kha gong 'og).
rig 'dzin rgod ldem|Rigdzin Gödem (rig'dzin rgod ldem, 1337-1409), le troisième découvreur. Ses trésors sont les trésors du nord (byang gter).
dag snang|Pure vision. Les enseignements de pures visions sont transmis depuis l'état de réalisation de Guru Rinpoché, cachés dans la nature de l'esprit du disciple accompli puis révélés dans sa pure vision.
'jam dpal|Mañjusri, représenté comme un adolescent de seize ans (kumara), il symbolise la pureté et l'intellect non obscurci. Dans le grand véhicule il est un bodhisattva de la dixième terre identifié à la perfection de sagesse, dans les tantras un éveillé depuis des âges sans nombre. Il incarne souvent la triade du fils, du père et de la mère des vainqueurs. Il est coutumier, pour un auteur bouddhiste, de commencer une oeuvre de ce genre par une louange à Mañjusri.
dam pa'i chos |La sublime réalité ou doctrine de l'éveillé. Le sanskrit dharma dérive de la racine : dhr,? "porté", l'enseignement de réalité du Bouddha étant "porteur du sens véridique, irréfutable". Il est "sublime" (sat), car il constitue la parole de "celui qui est le plus élevé". Selon d'autres interprétations, sat signifie "suprême" (parmi les doctrines), on désigne les personnes vertueuses et éminentes auxquelles l'enseignement est destiné.
rigs brgya khyab bdag|une appellation de Vajradhara (rdo rje  ´chang). "Familles" (rigs) renvoie aux familles des bouddhas.
chen po gsum|Les trois grandeurs (chen po gsum) : dans la compassion, la réalisation et l'abandon.
pad ma 'byung gnas |Né du lotus.
