Tibétain,Sanskrit,Anglais,Sens racine Français,Autres termes rencontrés,Definition,Ordre alpha tib
"bcos med, 
bcos su med pa, ma bcos pa",,,"sans artifices, sans fabrication 
sans interférence, sans tentative de correction, non traité, non modifié, non corrigé ; 
n’ayant rien à améliorer, sans correction à apporter ; 
sans productions 
inaltéré, non fabriqué, non modifié, sans arrangement(s)",,,
bcos slad med pa,,,"sans artifice ni altération, sans améliorer ni gâcher sans fabrication ni altération, ni modifié ni altéré, sans modification ni corruption",,,
,,,,,,
CHA,,,,,,
chags sdang,,,"(les saisies duelles) d’attraction et de répulsion attirance (ou attrait) et répugnance, désir et dégoût, concupiscence et répulsion, attirant ou repoussant",,,
chad chod,,,"sans discontinuité 
ininterrompu",,,
chad lta ba,,,"ucchedavâda, la vue nihiliste",,,
chings su bcings,,,"embrasser à plus grande échelle, englober sur une portée plus importante 
ceindre à plus grande ampleur, cerner la plus grande envergure, être cerné par la portée de, être englobé par l’étendue de",,,
"chu rgyun gyi 
rnal ‘byor, 
chu bo rgyun gyi rnal ‘byor",,,"le yoga cours de fleuve, le yoga continu (jour et nuit) comme le cours d’un fleuve, le yoga du cours du fleuve 
le yoga continuel qui continue comme court le fleuve (ou comme le cours du fleuve)",,,
chen po,,,"immense, grand 
total, suprême",,,
,,,,,,
,,,,,,
,,,,,,
cho ‘phrul,,,"magie, créations",,,
chos,,,"1. dharma, réalité 
2. les dharmas, phénomènes 
3. Dharma, l’enseignement du Bouddha, (affaires) spirituelles 
4. facteurs",,,
chos kun,,,"tous les dharmas, tous les phénomènes (possibles)",,,
"chos kyi bdag 
med",,,"le non soi des phénomènes 
l’insubstantialité des phénomènes, le non ego des phénomènes",,,
chos sku,,,"dharmakâya, corps absolu",,,
"chos sku rgyal 
po’i rtsal",,,"le potentiel (manifeste) du roi dharmakâya, l’exercice du roi dharmakâya 
le potentiel créatif du dharmakâya omnipotent (syn. rig pa’i rtsal)",,,
chos sku gcig po’i yo langs bskyang,,,"continuer en l’unique état sans blocage ni interruption du dharmakâya, préserver la nature libre, unique et sans cesse du corps absolu maintenir (ou préserver) l’unique état sans interruption ni blocage du dharmakâya",,,
"chos sku bzhi 
ldan",,,"le dharmakâya aux quatre qualités, les quatre qualités du dharmakâya (voir n219)",,,
chos sku’i klong du dag pa,,,"purifié en l’immensité du dharmakâya 
purifié en l’étendue (ou la vastitude) du corps absolu",,,
chos sku’i lta ba,,,la vue du dharmakâya,,,
"chos sku’i yo 
langs",,,"l’état sans blocage ni interruption du dharmakâya, la nature libre et sans cesse du corps absolu l’état sans interruption ni blocage du dharmakâya, le jeu du dharmakâya",,,
chos nyid,,,"dharmatâ, la réalité en soi, la réalité de la nature des phénomènes, la réalité (de l’esprit)",,,
"chos nyid kyi 
rang ngo skyong ba",,,"cultiver (ou préserver, continuer, maintenir) l’état immanent de la réalité en soi",,,
chos nyid mngon sum,,,"la réalité en soi, la réalité véritable, la réalité immédiate",,,
,,,,,,
,,,,,,
,,,,,,
chos nyid mngon sum gyi snang ba,,,"la vision (ou luminosité) de la réalité en soi (ou véritable), les (ou la) vision(s) de la réalité immédiate",,,
chos nyid bar do,,,le bardo de la réalité en soi,,,
"chos nyid zad 
pa’i snang ba, 
chos zad blo ‘das kyi snang ba",,,"la vision (ou luminosité) de l’épuisement même de l’apparence de la réalité en soi, la vision de l’épuisement de la réalité en soi, la vision de l’épuisement de la réalité ; 
la vision de l’épuisement des imputations de l’intellection en la sphère de la réalité en soi vision de la résolution des phénomènes au-delà de l’esprit ordinaire, la vision en laquelle les phénomènes sont résolus et la conscience ordinaire est transcendée",,,
chos rnams,,,"les réalités, les qualités (éveillées), les dharmas, les phénomènes",,,
chos ‘byung,,,"le tétraèdre d’un dharmodaya, le domaine d’émergence des dharmas 
matrice, source de la nature (des phénomènes), source de la réalité, domaine d’émergence de toute chose",,,
"chos dbyings, 
chos kyi dbyings",,,"dharmadhâtu, le domaine de l’ouvert, 
l’immensité toute ouverte, l’ouverture immense, le domaine de toute réalité, le domaine de la réalité, réalité absolue 
la dimension de toute existence, l’espace fondamental (ou élémentaire) des phénomènes",,,
chos zad chen po,,,"le grand épuisement 
la grande résolution des phénomènes, le grand épuisement des phénomènes",,,
chos lugs,,,"tradition spirituelle 
système organisé de phénomènes, religion",,,
chos log,,,"enseignement erroné 
enseignement perverti",,,
mchan,,,note (de bas de page),,,
mchod brjod,,,stance d’offrande,,,
"‘char sgo, 
‘char ba’i sgo",,,la porte des appartitions,,,
,,,,,,
,,,,,,
,,,,,,
‘char ba’i yul,,,l’objet des appartitions,,,
"‘char gzhi, 
‘char ba’i gzhi",,,"1. la base des apparitions 
2. projet",,,
‘char tshul,,,"manière d’apparition, mode d’apparition comment (les choses) apparaissent, façon d’apparaître",,,
‘char lugs,,,mode d’apparition,,,
‘chi kha’i bar do,,,bardo du moment de la mort,,,
,,,,,,
JA,,,,,,
"ji snyed pa 
mkhyen pa’i ye shes, 
shes bya ji snyed pa mkhyen pa’i ye shes",,,"l’expérience première des phénomènes dans leur multiplicité, la gnose connaissant la multiplicité des connaissables 
connaissance quantitative, la connaissance connaissant la (pleine) quantité de tous les phénomènes (ou de tout ce qui peut être connu)",,,
ji lta ba bzhin,,,"l’ainsité telle qu’elle est, l’état tel quel 
l’état des choses telles qu’elles sont",,,
ji lta ba gzigs pa’i ye shes,,,"l’expérience première de l’ainsité, la gnose connaissant l’ainsité, la connaissance primordiale connaissant la nature (des phénomènes) l’intelligence première qui voit (l’esprit, ou les phénomènes) tel qu’il(s) est (ou sont), la prime expérience qui perçoit directement le sens (de l’esprit), la cognition primordiale qui expérimente (ou vit, distingue, contemple, constate) 
directement (l’état fondamental), connaissance qualitative, la connaissance voyant l’état (ou la nature) tel qu’il (ou elle) est",,,
"ji bzhin, 
ji bzhin nyid",,,"tel qu’il est, ainsi tel que 
ce qui est, tel quel, tel que c’est ; 
l’état d’être tel qu’il est (ou tel que c’est) simplement ce qui est",,,
ji bzhin pa,,,"l’état d’être tel qu’il est 
(étant donné) ce qui est, tel quel",,,
"ji bzhin par 
bzhugs pa",,,demeurer en l’état d’être – tel quel – tel que c’est,,,
,,,,,,
,,,,,,
,,,,,,
‘ja’ lus,,,le corps d’arc-en-ciel,,,
‘ja’ lus ‘pho ba chen po,,,le corps d’arc-en-ciel du grand transfert,,,
‘jur dran,,,"mémoires tenaces 
mémoires rigides (ou endurcies)",,,
rje ne,,,nu et dépouillé,,,
rjes,,,"1. suite, traces, après 
2. (section de) conclusion",,,
rjes thob,,,"prishthalabdha, les circonstances après l’assise la réalisation subséquente, expérience post méditative",,,
"rjes mthun gyi 
thim rim",,,les étapes de la dissolution analogique,,,
rjes spyod,,,"les activités subséquentes 
conduite (ou comportement) post-méditatif",,,
rjes med,,,"sans suite 
sans traces",,,
"rjes med rang 
dag",,,"purifié en soi sans suite 
auto purifié sans laisser de traces",,,
rjes shes,,,"expérience subséquente 
compréhension (ou expérience, cognition, connaissance) résultante, conscience post méditative",,,
rjes su rnal ‘byor,,,"Anuyoga 
‘Yoga subséquent’",,,
rjes su rnal ‘byor gyi theg pa,,,"Anuyogayâna, véhicule de l’Anuyoga (tantra)",,,
brjod med,,,"inexprimable, indicible 
ineffable, inénarrable, indescriptible (avec des mots)",,,
brjod med kyi rig pa zang thal,,,"inexprimable intelligence immédiate ouverte, transparente et sans entrave 
ouverture transparente et sans entrave de l’indicible état d’intelligence en soi",,,
,,,,,,
NYA,,,,,,
nyag gcig,,,"unicité 
unique",,,
,,,,,,
,,,,,,
,,,,,,
nyan thos pa,,,"shrâvaka, auditeur 
disciple du Hînayâna",,,
"nyan thos kyi 
theg pa",,,"shrâvakayâna, véhicule des auditeurs, véhicule des shrâvakas",,,
nyams,,,"expérience 
expérience de méditation, expérience mystique",,,
nyams khrid,,,"instructions sur les expériences 
explications sur les expériences, guidance par les expériences, guidance (ou orientation) par l’expérience personnelle, accompagner à travers les expériences",,,
"nyams gong ‘phel gyi snang ba, 
nyams snang 
gong ‘phel",,,"la vision (ou luminosité) de l’amplification de l’expérience, (la vision de) l’amplification de la clarté des expériences, la vision de l’amplification des expériences 
la vision du développement des expériences",,,
nyams myong,,,expérimenter,,,
nyams snang,,,des expériences de clarté,,,
nyams zhen,,,attachement aux expériences,,,
"nyams len, 
nyams su len pa",,,"pratique ; 
pratiquer, mettre en pratique, cultiver 
l’expérience 
faire la pratique de",,,
nyams gsum (bde gsal mi rtog pa),,,"les trois expériences de méditation (félicité, clarté et non pensée)",,,
nyi ma,,,lumière solaire (signe de claire lumière),,,
nyon mongs pa,,,"klesha, passions, émotions conflictuelles passionnel, émotions négatives",,,
nyon mongs pa’i sgrib pa,,,le voile des passions,,,
nyon mongs pa'i rlung,,,"klesha vâyu, souffles passionnels 
souffles pollués par les passions, énergies psychiques passionnelles",,,
"snye ma mgul ba nas ‘chang ba 
ltar",,,"semblable à des épis tenus en gerbe, semblable à des épis ‘tenus par le col’",,,
gnyis med,,,"advaya, non deux, non duel, sans dualité",,,
,,,,,,
,,,,,,
,,,,,,
"gnyis ‘dzin, 
gnyis su ‘dzin pa",,,"la saisie dualiste, duel, la saisie duelle",,,
"gnyis ‘dzin gyi 
‘ching ba las 
‘grol ba",,,libéré des chaînes de la saisie dualiste,,,
gnyen po,,,"pratipaksha, antidote, remède",,,
gnyug ma,,,"nîja, naturellement, état naturel, inné",,,
gnyug ma lhun grub,,,l’état naturel spontané,,,
gnyug ma’i rnal ‘byor,,,"yoga de l’état naturel, yoga naturel, pratique naturelle",,,
mnyam rjes,,,"assise et après l’assise, méditation et post méditation",,,
mnyam rjes kyi nyams len,,,la pratique de l’assise et de son après,,,
"mnyam nyid, 
mnyam pa nyid",,,"samatâ, égalité, état d’être identique",,,
"mnyam bzhag, mnyam par 
bzhag pa",,,"samâhita, rester en contemplation, rester égal en contemplation 
l’état d’égale contemplation, (état d’)équilibre, reposer en l’égalité",,,
rnying ma pa,,,"Nyingmapas, l’école Ancienne 
la tradition des mantras Anciens, l’Ecole des tantras Anciens, l’école des Anciens",,,
"snyan brgyud, 
snyen brgyud",,,"tradition orale 
lignée de transmission orale, lignée orale",,,
snying gi bu,,,"fils de cœur, disciple principal",,,
snying rje,,,"bon cœur 
compassion, bonté",,,
snying gtam,,,"conseils du cœur, recommandations du fond du cœur",,,
snying thig,,,"Nyingtig, l’essence du cœur 
l’essence du cœur de l’esprit, l’Essence de l’Esprit, quintessence du cœur, quintessence du cœur-esprit",,,
"snying thig rdo rje snying po’i 
lam",,,"les Nyingtig, voie de l’essence du coeur adamantin 
les Nyingtig, voie de la quintessence du coeur esprit éternel, les Nyingtig, voie de la quintessence de l’indestructible coeur-esprit",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
snying thig pa,,,pratiquant des Nyingtig,,,
"snying thig ya 
bzhi",,,"Nyingtig Yashi, le Nyingtig ‘quatre en deux paires’, les quatre branches du Nyingtig",,,
snying po,,,"1. hridaya, cœur, le cœur même de, le cœur essentiel 
2. garbha, embryon, matrice 
3. sâra, essence, essence du cœur, essence-même, l’âme 
4. citta, esprit",,,
snying po med pa,,,"être sans substance 
insubstantiel, sans essence, creux",,,
,,,,,,
TA,,,,,,
ting nge ‘dzin,,,"samâdhi, état d’absorption de l’esprit, absorption spirituelle 
absorption méditative, état de contemplation, contemplation",,,
"ting nge ‘dzin 
chen po",,,"mahâsamâdhi, grand samâdhi, samâdhi suprême un état de contemplation totale, la grande contemplation, l’absorption méditative suprême",,,
"ting ‘dzin sems pa, 
ting nge ‘dzin 
sems pa",,,"samâdhi sattva, l’être de samâdhi 
divinité d’absorption méditative",,,
gtang rgya,,,sceau de la confiance,,,
"gtad, 
gtad pa",,,"1. fixation, fixer l’esprit sur, point de référence se tourner vers, s’orienter vers 
2. intention, induire, induction 
3. confier",,,
gtad so,,,"orientation, concept, conception, point de référence",,,
"gtad so dang bral ba, 
gtad med, 
gtad pa med pa",,,"sans orientation, sans point de référence, libre de conceptions",,,
gtad tshigs,,,"1. conclusion 
2. Critère
3. raisonnement",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"gtan la dbab pa, gtan la ‘bebs pa, gtan la phab",,,"1.amener (rigpa) à son état (de réalisation) définitive 
arriver à la stabilité, atteindre la conclusion définitive 
2.systématiser, coucher par écrit de façon standardisée (ou organisée)",,,
gtum mo,,,"chandâlî, toumo",,,
gter ston,,,"Tertön, découvreur de trésors 
(termas : textes ou objets)",,,
gter ma,,,"terma, trésor redécouvert 
trésor (caché et découvert), texte-trésor caché, révélation",,,
gtong len,,,"accueillir/offrir (voir n138, n139)",,,
gtor ba,,,"évacuation (ou purification de toutes les empreintes samsariques d’apparences 
inexistantes) 
renvoi, révocation, éviction",,,
btag grol,,,"libération par le port, libération en portant (sur soi)",,,
btang bzhag med pa,,,"sans rien éliminer ni positionner, sans rien rejeter ou adopter",,,
rtag chad,,,"être et non être, éternalisme et nihilisme éternité et néant, affirmation et/ou déni",,,
rtag lta ba,,,"shashvatavada, la vue éternaliste, éternalisme, vision de la permanence",,,
rtags,,,"les signes (de succès des pratiques) 
indication",,,
rtags tshad,,,les signes (de succès des pratiques) et leurs évaluations,,,
rten,,,support,,,
rten ‘brel,,,"circonstances adéquates, facteur propice",,,
rtog pa,,,"penser duel, dualiste, conceptuel 
pensée discursive, penser, pensée",,,
"rtog med, 
rtog pa med pa, mi rtog pa",,,"aconceptuel, non pensée (voir aussi n100), sans pensées discursive ; 
non pensée, non discursif, sans pensées, non conceptuel ; 
la non pensée 
n’impliquant pas de concept (de)",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
rtog tshogs,,,schémas conceptuels,,,
rtogs pa,,,"comprendre directement, compréhension, réalisation",,,
"lta sgom du ro 
gcig",,,"vue et méditation comme une même expérience, vue et contemplation en une seule saveur",,,
"lta sgom spyod, lta sgom spyod ‘bras bu",,,"vue, méditation, action ; 
vue, méditation, action, fruit",,,
lta ba,,,"drishti, vue 
façon de voir, voir",,,
lta ba’i phyi rgya rlabs kyis gcod pa,,,"démanteler les couches les plus profondes de sa vue 
pulvériser (ou anéantir, défaire, abattre) les couches les plus lointaines (ou reculées) de sa vue,",,,
stong cha,,,du côté du vide,,,
"stong nyid kyi 
gshis",,,état fondamental qui est vacuité,,,
stong nyid snying rje zung ‘jug,,,union de vacuité et compassion,,,
stong pa,,,"shûnya, le vide 
absence, sans, dépourvu de, ouverture, évacuer, disparaître, être vide",,,
stong pa nyid,,,"shûnyatâ, la vacuité 
l’état sans (nature en propre), état d’ouverture",,,
"stong pa lhun 
grub",,,"vide et pourtant spontané 
vide mais spontané, vide et spontané",,,
stong pa’i sgron ma,,,la luminosité du vide,,,
stong pa’i ngang,,,"l’état du vide, la sphère du vide",,,
brtag pa,,,"vitarka, examiner, investiguer, examen",,,
brtan pa thob,,,"obtenir la stabilité, atteindre la stabilité",,,
brten,,,supporté,,,
bstan bcos,,,"shâstra, traité 
traité philosophique (commentant la parole du Bouddha)",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
bstan pa,,,"shâsana, enseignement, exposé 
‘ce qui est montré’, enseigné, révéler, définir comme",,,
,,,,,,
THA,,,,,,
tha snyad,,,"concepts, termes 
expressions, terminologie, étiquettes 
conventionnelles, conventionnel",,,
tha dad med pa,,,"non différent, sans séparation",,,
tha mal gyi rig pa,,,"l’intelligence ordinaire naturelle 
l’intelligence immédiate ‘ordinaire’",,,
tha mal gyi shes pa,,,"la cognition ordinaire naturelle, ‘l’esprit ordinaire’",,,
tha le,,,"ouvert et dégagé 
ouverture lucide",,,
"thag bcad pa, 
kho thag chod",,,"décider, trancher 
être certain de, déterminer de façon décisive, trancher à l’instant même",,,
thag gcig thog tu bcad pa,,,"Certain de l’unique conclusion (2ème vers du testament de Garab Dorjé) 
Décider de façon définitive en cet état unique",,,
thabs,,,"upâya, moyen 
moyen habile",,,
thabs lam,,,"la voie des méthodes 
voie des moyens habiles",,,
thig le,,,"bindu, points essentiels vitaux, points, nucleus, essence, tiglé, grains 
sphère, minuscule sphère",,,
thig le chen po,,,"mahâbindu, le grand bindu, la grande sphère essentielle 
la sphère totale, la grande sphère",,,
thig le nyag gcig,,,"le bindu d’unicité 
la sphère unique, unique essence",,,
"thig le stong 
sgron, 
thig le stong pa’i sgron ma",,,"la luminosité des tiglés du vide, la luminosité des tiglés vides 
la lampe des sphères vides",,,
,,,,,,
,,,,,,
,,,,,,
thugs,,,"citta, esprit, esprit de sagesse, esprit éveillé esprit des bouddhas, esprit du Lama, coeur (éveillé)",,,
thugs rje,,,"karunâ, qualités, qualités de bonté, l’énergie de toutes les qualités éveillées, qualités éveillées, les potentialités de bonté, la bonté, l’énergie d’éveil, l’immense bonté, l’énergie de grande bonté, compassion 
énergie",,,
thugs sras,,,"fils de cœur, disciple principal",,,
thun,,,"séance (de pratique) 
session (d’assise), période de pratique",,,
thun dang thun mtshams,,,sessions et intersessions,,,
"thun mong gi 
drod rtags",,,les signes habituels de succès des pratiques,,,
"thun mong gi 
gdul bya",,,"les êtres ordinaires 
les apprentis ordinaires",,,
the tshom med,,,"sans doute(s), sans hésitation 
sans ambivalence, sans rester dans le doute",,,
"theg chen, 
theg pa chen po, theg mchog",,,"mahâyâna, le grand véhicule, la voie universelle (voir aussi n123) 
le suprême véhicule 
l’approche spirituelle suprême, la plus 
majestueuse des approches spirituelles",,,
theg pa,,,"yâna, véhicule(s) 
approche spirituelle, voie",,,
"theg pa thams 
cad kyi rtse 
rgyal, 
theg pa’i yang 
rtse",,,"la cime victorieuse de tous les véhicules (d’éveil) le sommet de la victoire parmi tous les véhicles, le zénith victorieux de tous les véhicules (d’éveil) ; 
le plus haut sommet des véhicules (d’éveil) la cime des cimes des véhicules (d’éveil)",,,
"theg pa dgu, 
theg pa rim dgu, theg pa rim dgu’i rtse bo",,,"les neuf véhicules, 
les neuf véhicules graduels (vers l’éveil) les neuf véhicules successifs (vers l’illumination) le sommet des neuf véhicules
le pinnacle (ou faîte) des neuf véhicules",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"theg pa’i yang 
rtse",,,"le plus haut sommet des véhicules (d’éveil) la cime des cimes des véhicules (d’éveil), la cime même de tous les véhicules",,,
"theg dman, 
theg pa dman pa, theg chung",,,"hînayâna, le petit véhicule ; 
ceux qui suivent des approches spirituelles moindres 
(ou de moindre envergure)",,,
thog,,,"dans l’instantanéité de, dans l’immédiateté de dans l’imminence de",,,
thog ma’i sangs rgyas,,,"le(s) bouddha(s) primordiaux, bouddha de toute origine",,,
thod gyis,,,"directement, (la traversée ou libération est) directe et spontanée",,,
thod rgal,,,"Thögel, traversée (directe) du crâne, libération spontanée, ‘traversée directe, libératrice et spontanée de l’ignorance crânienne’ (voir n227), la transcendance de la cognition dualiste, le passage au-delà de l’expérience de séparation (traductions utilisées par ailleurs cf. fin n227)",,,
thod rgal gyis,,,"1. le mode de progression désordonné des thögelwas 2. (mais à aussi le sens de) direct, qui passe directement aux niveaux supérieurs sans traverser les niveaux intermédiaires, une approche directe, immédiate, l’accession directe des degrés inférieurs aux supérieurs, le passage direct des niveaux inférieurs aux supérieurs, d’une façon au-delà de la progression (ce sont alors ce que l’on nomme des cig car ba)",,,
thod rgal ba,,,"subit instable, avec des hauts et des bas (un des trois types de pratiquants), un pratiquant progressant de façon rapide mais irrégulière et désordonnée, avec des hauts et des bas 
les instantanés instables, qui atteignent le résultat par sauts (ou bonds), (ceux dont les qualités d’expérience et de réalisation accroissent ou décroissent sans ordre séquentiel)",,,
"thol byung blo 
rdeg",,,"frapper soudainement la pensée 
ferrer subito une pensée, asséner un coup subit à la pensée, assommer instantanément une pensée, 
porter un coup preste à une pensée",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
thos pa’i shes rab,,,"compréhension issue de l’écoute (des 
enseignements) 
compréhension née de l’écoute (des 
enseignements)",,,
mtha’,,,"anta, conclusion, extrême 
limite, limitation, fin",,,
mtha’ grol,,,"libre de (toute) extrême 
libéré de tout limitation",,,
"mtha’ brgyad, 
spros pa’i mtha’ brgyad, 
spros pa brgyad",,,"huit déterminations, (qui sont) quatre doublets axiomatiques qui structurent la pensée 
conceptuelle (« nihilisme et éternalisme, l’un et le multiple, l’allée et la venue, l’origine et la cessation »)",,,
"mtha’ rten bzhi mi ‘gul ba 
gsum 
 sdod pa gsum thob pa gsum gding bzhi",,,"les quatre consolidations (de Thögel), les upadeshas finales consolidant les instructions (voir p153) : 
 1. les trois immobilités, 
 2. les trois repos à demeure, les trois demeures, les trois résidences, 
 3. les trois obtentions, 
 4. les quatre certitudes, les quatre confiances, quatre assurances",,,
"mtha’ ‘das, 
mtha’ ‘das pa, 
mtha’ las ‘das pa",,,"transcendant les limites, au-delà des extrêmes",,,
"mtha’ dbus med pa, 
mtha’ dang dbus med",,,sans centre ni périphérie,,,
"mtha’ med, 
mtha’ bral, 
mu mtha’ med 
pa",,,"sans fin, sans limite, sans limitation ; 
sans conception, sans nom, libre de 
déterminations ; 
sans limite",,,
"mtha’ bzhi, 
spros pa’i mtha’ bzhi, 
dgag bya’i mtha’ bzhi",,,les quatre déterminations conceptuelles (énumération voir n133),,,
,,,,,,
,,,,,,
,,,,,,
mthar thug don,,,"au sens ultime, la perspective ultime et parfaite, parachèvement de",,,
mthar snang,,,"visions ultimes, luminosités finales",,,
mthong ba’i byin rlabs,,,"les pouvoirs spirituels visibles, les bénédictions spirituelles visibles",,,
mthong lam,,,"darshanamârga, la voie de la vision",,,
,,,,,,
DA,,,,,,
da lta nyid du,,,"en présence d’instantané, l’application, présence d’instantanéité, état de l’éternel présent",,,
da ltar gyi shes pa,,,"la cognition de la présence d’instantanéité conscience d’instantanéité, présence cognitive de l’instant, cognition d’instant présent, présence du moment instantané",,,
"dag pa, 
rnam dag, 
rnam par dag pa",,,"pur ; 
parfaitement pur 
pureté totale, totalement pur",,,
dag snang,,,"(l’expérience) des apparences pures, du monde sacré, vision sacrée 
vision pure",,,
"dag dbyings 
sgron ma, 
dag pa’i dbyings sgron ma",,,la luminosité de l’immensité pure,,,
"dang po pa, 
las dang po pa",,,débutant,,,
dad pa,,,"confiance 
foi",,,
"dwang, dwangs, dvangs, 
dwangs pa",,,"une transparence ouverte 
lustre, brillance, clair, pur ; 
limpidité transparente, transparent",,,
dwang ma lnga ldan gyi thig le,,,"le tiglé aux cinq sèves 
le bindu aux cinq quintessences",,,
dwangs ma lnga ldan gyi rtsa,,,"le Canal aux cinq sèves 
le canal aux cinq quintessences",,,
"dam bca’, 
dam bca’ btang ba",,,"engagement, serment (de l’auteur qui précise son objectif en composant l’ouvrage) 
promesse, assertion, vœu ;
s’engager à (faire)",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
dam tshig,,,"samaya, lien sacré 
promesse sacrée, promesse solennelle, voeu solennel, engagement solennel, parole d’honneur",,,
dam tshig sems dpa’,,,"samayasattva, l’être de samaya 
la déité lien, l’aspect symbolique (qui fait le lien sacré), l’être d’engagement (formel), l’être d’enrôlement, être symbolique",,,
di ri ri,,,un grondement bourdonnant,,,
du ba,,,fumée (signe de claire lumière),,,
dur khrod,,,"charnier, cimetière",,,
"dus gsum ‘pho 
‘gyur med pa",,,sans transition ni changement au travers des trois temps,,,
"de nyid, 
de bzhin nyid, 
de kho na nyid",,,"tathatâ, ainsité 
l’état d’être tel que c’est, réalité",,,
de kho na nyid ting nge ‘dzin,,,"tathatâ samâdhi, samâdhi de l’ainsité, 
contemplation de la réalité",,,
de bzhin nyid,,,"tathatâ, l’ainsité, réalité 
l’état tel quel tel que c’est",,,
de bzhin gshegs pa,,,"tathâgata, l’Ainsi allé, celui Parti en l’ansité",,,
de bzhin gshegs pa’i snying po,,,"Tathâgatagarbha, la nature de bouddha (inhérente, innée) 
la matrice de l’éveil, le germe de l’éveil, l’embryon de tathâgata",,,
de ring,,,aujourd’hui,,,
"don, 
don rnams",,,"artha, la nature (de l’expérience immédiate) sens, ultime, véritable, réalité, sens réel, bienfait, objectif, but, ultimement significatif, plein de sens, ultimement existant, l’état ultime (de) ; les facettes",,,
don gyi snying po,,,"le véritable cœur essentiel 
l’ultime essence-même, l’ultime cœur essentiel, l’âme de l’ultime",,,
don gyi lta ba,,,"la vraie vue, vue ultime 
vue définitive, vue véritable",,,
,,,,,,
,,,,,,
,,,,,,
don gyi ye shes,,,"véritable expérience première 
prime expérience définitive, cognition 
primordiale ultime (ou réelle)",,,
don gcig las ma ‘das pa,,,"sans aller au-delà de l’unique réalité 
ne pas aller au-delà du sens unique, sans dépasser l’unicité, sans transgresser le sens unique",,,
don dam,,,"véritable, réalité ultime, sens (profond et) authentique, 
ultime, réalité",,,
don med,,,"inanité, vanité, (actions) absurdes 
qui n’a pas de sens, sans raison, en pure perte, futile, inutile, creux, vain, ne veut rien dire",,,
drwa phyed,,,"filets sertis, demi guirlandes pendantes et serties de joyaux 
frise ornementée",,,
drwa mig,,,fenêtre en œil de bœuf,,,
drag sngags,,,"mantra courroucé, mantra violent",,,
drang thal le,,,droit et dégagé,,,
drang don,,,"neyârtha, sens pédagogique, sens didactique",,,
"dran rtog, 
dran bsam",,,"les événements du mental, événements mentaux ou intelligences ; 
pensées et souvenirs (ou mémoires), pensées",,,
dran ‘dun,,,cultivé en une ‘attention’,,,
"dran pa rgyun 
gcod",,,"instructions interrompant le cours de la pensée, faire cesser le cours de la cognition",,,
dran med,,,"absence de lucidité, sans lucidité 
inconscient, distrait, absent",,,
"dran rig ‘char 
nub med pa",,,l’absence d’apparition et de disparition des événements de la cognition,,,
"dri med, 
dri ma med pa",,,"nirmala, immaculé",,,
gdangs,,,"l’éclat de l’énergie, la luminosité de l’éclat, l’énergie 
translucidité, translucide, rayonnement, éclat",,,
gdangs ‘gag pa med pa,,,"l’énergie sans limite 
rayonnement sans fin",,,
gdangs gsal ba,,,la brillante luminosité de l’éclat,,,
,,,,,,
,,,,,,
,,,,,,
gdams ngag,,,instructions essentielles,,,
"gding grol thog tu bca’ ba, 
gdeng grol thog tu bca’ ba",,,"Etabli en la confiance libre (3ème vers du testament de Garab Dorjé), être établi en la confiance d’auto libération, être établi en la confiance naturellement et spontanément libre, être établi en la confiance auto libérée ( ou en la nature de l’esprit libre d’esprit), vivre en cette confiance libre en soi 
Continuer directement avec assurance (ou confiance) en la libération",,,
"gdeng, gdengs, 
gding",,,"sûr, vivre (la vue, méditation et action), confiance, assurance",,,
gdod nas dag pa,,,primordiallement pur,,,
gdod ma,,,"origine, premier",,,
gdod ma’i mgon po,,,"âdinâtha, protecteur originel 
seigneur primordial, premier seigneur et maître, buddha primordial",,,
gdod ma’i rnal ‘byor,,,"yoga primordial, yoga originel",,,
"gdod ma’i 
dbyings",,,"l’immensité primordiale 
l’ouverture (ou domaine, dimension, espace fondamental, espace élémentaire) primordiale",,,
gdod ma’i gzhi,,,"le fond originel, la base primordiale",,,
gdos bcas,,,"les aspects grossiers, ce qui est substantiel, concret",,,
"gdos bcas kyi 
phung po",,,les composants grossiers,,,
bdag nyid,,,"en soi, la propriété fondamentale 
identité",,,
bdag nyid chen po,,,"mahâtma, le grand en soi, la grande propriété fondamentale 
la personne authentique, grand être, grande nature, le grand état, le grand soi (syn. Dzogchen, l’état primordial)",,,
bdag med,,,"anâtman, non soi, sans personne, sans soi, non ego, sans moi, absence de soi 
absence d’ego, insubstantiel",,,
,,,,,,
,,,,,,
,,,,,,
"bdag ‘dzin, 
bdag tu ‘dzin pa",,,"âtmagraha, saisie d’un soi, saisie égotique, la saisie de l’ego 
réifier, se prendre pour sujet, se percevoir comme (ayant) une identité (en soi)",,,
bdud,,,"mâra, démon 
nuisance, obstacle",,,
bdud rtsi,,,"amrita, le nectar, le remède aux démons (démons des illusions, saisies, attachements… d’où procèdent les différents mal-êtres)",,,
