Tibétain,Sanskrit,Anglais,Sens racine Français,"Autres termes rencontrés",Definition,Ordre alpha tib
cho 'phrul ,prātihārya,,"Projection magique,
Miracle","manifester, faire apparaître, émaner, diffuser, projeter miraculeusement
émanation, transformations, manifestations, apparences, occurrences, interférences, déploiements, expressions, prestige, prodige, spectacle magiques, miraculeux, miracle, tour de prestidigitation","(TDC) cho 'phrul, 
rdzu 'phrul te lus sems kyi shin sbyangs la brten nas skyes pa'i sprul pa'i nus shugs,...rgyal ba'i cho 'phrul,...lha 'dre'i cho 'phrul,...cho 'phrul yin nam dngos yin snyam,...

(RY) cho 'phrul :
miracle, *; magical tricks; magical illusion; magical show; apparition, illusion, trick, creation, power, jugglery, miracle, malicious / magical attack; magic, magical attacks, power of magical creation, paranormal psychic power; a magic trick, sorcery; spiritual/ religious miracle; miraculous/ fantastic display; machinations, phantasmagoria. sems kyi + - the magical play of the mind",200
chos ,"dharma
","phenomenon (SL BP)
teaching (SL MW)
","Dharma
Enseignement,
L’enseignement de réalité 
Ce qui est expérimenté, expérience,
Chose, connu. réalité, réel, connaissable, 
","construire, réparer
connaissable, connu, chose, éléments, phénomène, objet de connaissance, existants phénoménaux
 objet du mental, événements mentaux, sujets
bienfaits
qualités, aspect, facteur, attributs, éléments de
l'instant, la circonstance, l'occasion
les enseignements (du Bouddha), vérité, doctrine, pratique religieuse
la certitude, le réel, réalité
nature essentielle
qui se tient, qui est en cohésion","(TDC) chos : 
1. 'chos pa'i skul tshig  
2. ...1) shes bya 'am dngospo,...2) lugs srol,...yul chos bzang po rnams sngar rgyun rangsor 'jags pa,...3) (dharma) rang gi ngo bo 'dzin pa'i don no,dharma zhes don bcu la 'jug ste, 'dus byas dang 'dus ma byas kyi chos zhes pa lta bu shes bya la 'jug pa dang, lam bden gyi chos zhes pa lta bu lam dang, 'gog  bden gyi chos zhes pa lta
 (RY) chos :
predicate of a subject {chos can} [in logic]; property [as in {blo chos} mental property and {don chos} real property] [ggd]. Dharma, phenomena, property [thd]. phenomena, (snang ba). Anything that can be experienced, thought of, or known. 1) Dharma, reality 2) dharmas, phenomena 3) Dharma, the teaching of the Buddha; 1) dharma, phenomenon, thing, existent, [a truly real predicate, event, entity, element or ultimate constituent of existence]. 2) Dharma, [the Precious Dharma with eight qualities]. Religion. 3) the Dharma, the Teachings, the Doctrine. 4) quality, attribute, property, characteristic, ability. 5) a teaching, doctrine, text, scripture, sacred text. 6) right, virtue, duty, moral law, tenet, precept. 7) truth, order, law. 8) practice, dharma -, religious. 9) mental object, dharma. 10) religion, religious system, way of belief. 11) topic, point, principle. 12) meaning, value, sense, meaning, worth; content. 13) ex. +{'chad}, +{shod}, +{smra}, to preach, give religious teaching, +{nyan}, to hear, listen to religious teaching, +{byed}, to practice religion, live a religious life, +{zhu}, to receive religious instruction, t seek, ask for religious teaching. imp. of {'chos}, and {'cha'}, 14) mind objects, 5 of 16 aspects of the 4 holy truths. one of the {phyag rgya bzhi}, four mudras; phenomenon; factor/ element; property/ quality/ attribute; spiritual teaching/ Buddhadharma/ dharma; don chos go bar byed pa'i gzhi} imp. of {'chos pa}; events; can that which has [certain] qualities or attributes, subject [in logic context]. phenomenon, phenomena, Dharma, teachings • 1) imp bcos pa (fabriquer, construire) 
• 2) a) système 2) b)Dharma 2) c) objet qui porte ou maintient ses propres caractéristiques 
• T.D. :
1) imp 'chos pa faire, construire, réparer
2) shes bya 'am dngos po : connaissable, connu, chose
3) lugs srol : tradition, coutume
4) rang gi ngo bo 'dzin pa' don : un “dharma” est ce qui maintient (appréhende) sa propre essence : fonction d'appréhension de sa propre essence
5) fonction maintenant sa propre essence : “dharma” a le sens d'appréhension de sa propre essence
 
• Dans les explications détaillées, il a dix sens :
1) le connaissable, que celui-ci soit composé ou incomposé
2) le sens, la voie, comme “le dharma, la vérité du chemin”
3) le nirvāṇa, comme “le dharma, vérité de la cessation”
4) objet du mental, comme “le dharma des champs sensoriels”
5) bienfaits, comme dans “activité du dharma”
6) l'instant, la circonstance, l'occasion, comme “le petit enfant apprécie ce qu'il voit dans l'instant ”
7) les enseignements du Bouddha, comme le Vinaya
8) ce qui doit advenir, comme l'avenir du corps qui est vieillissement
9) la certitude, comme “les quatre certitudes des pratiques vertueuses”
10) coutume, tradition, comme traditions religieuses et coutumes humaines (le terme “loi” est à éviter)
• D'une façon générale, le terme renvoie principalement à : 
tradition, enseignement, et connaissable 
(→ “Le grand livre de la progression vers l'éveil”, page 26, texte tib avec sa traduction) (GCLAvr93)",201
chos mngon pa,abhidharma,phenomenology (SL MW),"Abhidharma
Phénoménologie",,,202
chos can,,"subject (of debate), that which bears reality, something possessing a quality (SL BP)",,,,203
"chos kyi dbyings = chos nyid kyi dbyings 
= chos dbyings ",dharmadhātu,,L’immensité de la réalité,"espace absolu, ultime, (matriciel) de la vacuité, qui embrasse tout, de la réalité (absolue), de la vérité, espace fondamental des phénomènes, dimension, domaine, champ, sphère, étendue absolue, de la réalité (absolue des phénomènes), ultime, de toute existence, de la manifestation, de toute manifestation, du dharma, du réel, des phénomènes, de l'ainsité, de toute chose, de l'ultime nature intrinsèque, état de la vaste étendue, absolu, de l'ainsité tout embrassante, vaste étendue des phénomènes","NB : (TDC) dbyings :
1) klong dang, khams sam nang,...mthong rgya'i dbyings,...nam mkha'i dbyings,...dgongs pa'i dbyings,...2) rang bzhin nam 'byung gnas,...chos dbyings,...chos dbyings su bsdus pa,...3) 'gying nyams,...rang nyid dbyings che drags pas rjes lus thebs pa,...4) tha mag gi dbyings zer ba sogs rgya skad zur chag pa ste don ni ha cang dga' po'am lang shor ba,...
",204
chos kyi dbyings kyi ye shes ,dharmadhātujñāna,,La gnose (experience primordiale) de l’immensité de la réalité,"sagesse de l'espace de la réalité, sagesse qui embrasse tout, sagesse de la sphère ultime des phénomènes, sagesse de l'espace absolu",déf. → NA p300,205
chos sku ,dharmakāya,reality dimension of awakening (SL MW),"Le corps de réalité absolu,
Le corps absolu","état, corps de vacuité, de vérité, absolu, ultime, ouverture, dimension de toute existence, état de (l'esprit de) sagesse",,206
chos mchog ,agradharma ,,Suprême expérience,"suprêmes qualités mondaines, suprême réalisation (mondaine), phénomène suprême","‘jig rten chos mchog : suprême expérience mondaine, quatrième stade de la voie de l’approche du sentier de la vision (GCLAvr93)",207
"chos nyid 
= chos kyi de nyid 
= ji bzhin nyid ",dharmatā,reality (SL MW),"Réalité (en soi)
Ainsité de la réalité
Telleité","réalité (intrinsèque), vérité, ainsité, telléité, nature intrinsèque, véritable, inhérente, nature innée (des phénomènes et de l'esprit), ultime des phénomènes, phénoménalité, dharma en soi",,208
chos dbyings ,dharmadhātu,sphere of reality (SL MW),L’immensité de la réalité,"sphère , état, étendue, domaine, champ, espace de la réalité, qui embrasse tout, ultime (des phénomènes), absolu, de toute manifestation, du réel, libre, fondamental des phénomènes, vaste des phénomènes, de la réalité (absolue), du dharma, de l'ultime, de la telléité",,209
chos bzod ,,acceptance of phenomena (SL BP),"Acceptation de la réalité
Accepter la réalité","endurance vis-à-vis de la vérité, supporter la vérité ",(RY) acceptance of knowledge [of the truth of suffering.] {mthong lam skad cig bcu drug},210
mched du brjod pa ,udāna,,Enoncé intentionnel,"aphorismes spéciaux, expressions significatives, louange spontanée à la gloire (du Bouddha)",,211
mchog ,"agra, vara, uttama, uttara, parama",,"Suprême, sublime, supérieur.","suprême, sublime, précellent, excellent, éminent, parvenu à la cime, pré-éminence, premier, exemplaire, édifiant, exquis, rafiné, supérieur, meilleur, superbe, brillant",,212
mchog gi sprul sku ,uttama nirmāṇakāya,,Le suprême corps d’émanation,corps d'émanation suprême,,213
mchog dman ,,,"Niveau, rang,
Supérieur et inférieur","haut, excellent, supérieur, élevé, meilleur
et/ou
bas, déficient, inférieur","(RY) rank, social status. high or low. god and bad, superior and inferior, special and ordinary",214
mchod rten ,stūpa,,"Stupa
Support de vénération","“support d'offrandes”, monument d'éveil, tour d'éveil","monument, reliquaire symbolique représentant l'esprit du Bouddha (GCLAvr93)",215
'chags pa ,,,Dévoiler,"dévoiler, exposer ses fautes, confesser ","(RY) {'chags pa, bshags pa, bshag pa, bshogs} trans. v",216
'char gzhi ,,,Projet,"Projet, base d'émergence, fondement pour l'apparition de la réalité apparitionnelle, sol d'où apparaît",,217
'chi bdag gi bdud ,,,Le démon du maître de la mort ,"démon, malfaisance de la mort, maux, méfaits de la mort 
démon de la mort, démon du seigneur de la mort, de la camarde","un des quatre démons ; la nuisance qu'est la mort en ce qu'elle interrompt la pratique de ce qui est vertueux, lorsque, les facteurs vitaux détruits, on perd la vie (GCLAvr93)",218
'chi med ,"amṛta, amara",,Immortel,"non mort, immortalité, vie éternelle, immortelle, vie au-delà de la mort, à jamais libre de la mort, état d'immortalité",,219
Ja ,,,,,,220
ji snyed pa ,yāvatā,understanding of the phenomenal (SL MW),"Multiplicité
« Autant que l’on puisse en trouver »","tout ce qui existe, tous les phénomènes, dans leur multiplicité, telles que les choses sont, autant qu'elles sont, quantitative(ment), telles qu'elles existent, multiplicité, la variété (des choses)
le mode d'apparition, conventionnel des phénomènes",,221
ji snyed pa mkhyen pa'i ye shes ,yāvadvidjñāna,,La gnose connaissant la la multiplicité,"la connaissance primordiale de tout ce qui existe, la connaissance primordiale des phénomènes dans leur multiplicité, des choses telles qu'elles sont, autant qu'elles sont, quantitative(ment), telles qu'elles existent
la connaissance promordiale du mode d'apparition, connaissance conventionnelle des phénomènes
la connaissance primordiale qui comprend tout ce qui existe
de la multiplicité, la variété (des choses)",,222
ji lta ba ,yathā,,"Tel que c’est,
ainsité","ainsité, les choses telles qu'elles sont",,223
ji lta ba mkhyen pa'i ye shes ,yathāvidjñāna,undestanding of the noumenal (SL MW),La gnose connaissant l’ainsité,"la connaissance primordiale (qui comprend) le mode (d'être) essentiel, l'ainsité, qui connaît qualitativement (la vue), connaissance qualitative (des phénomènes dans leur spécificité), de la réalité, la nature telle qu'elle est, des choses telles qu'elles sont, connaissance infaillible de la nature absolue de toute chose",,224
'jig rten ,loka,world (SL BP),Le monde (périssable),"le monde (et ses habitants), systèmes de mondes, univers, monde samsarique, physique, mondain",,225
'jig rten mgon po ,lokanātha,,Le seigneur du monde ,"le maître, souverain, protecteur, dirigeant de l'univers, du monde
le Protecteur du monde",épithète du Bouddha,226
'jig rten chos brgyad ,aṣṭalokadharma,,Les huit attributs mondains,"les huit facteurs mondains, circonstances qui suscitent plaisir ou déplaisir, intérêts, principes, dharmas, attitudes, préoccupations mondains, ordinaires","1) rnyed pa dang mi rnyed pa : gain et perte 
2) bde ba dang mi bde ba : joie et douleur, bonheur et souffrance 
3) bstod pa dang smad pa : louange et blâme 
4) snyan grags dang  snyan grags dang mi ldan pa ? : bonne ou mauvaise réputation (GCLAvr93)",227
'jig rten pa'i shes rab ,lokaprajñā,,L’intelligence du monde (mondaine),connaissance supérieure mondaine,,228
'jig rten pa'i lha ,laukikadeva,,Dieux mondains,,,229
'jig rten las 'das pa'i shes rab ,lokottaraprajñā,,L’intelligence supra mondaine,la connaissance supramondaine (supérieure et inférieure),,230
"'jig lta 
= 'jig tshogs la lta ba ",satkāyadṛṣṭi,,"La vue (personnaliste dont l’intelligence voit un moi et un mien) dans  l’assemblage périssable (des constituants).

Vue périssable","vue du destructible, relative à une collection transitoire, aux agrégats périssables, agrégats mondains, collections transitoires, destructibles","(TDC)'jig lta, 
<satk'ayidrashta:> 'jig tshogs la lta ba zhes bya ste, phung po lnga po de dag skad cig re re la 'jig cing rdzas mang po du ma bsags pa'i tshogs yin te, bdag dang bdag gi ba'i dngos po med pa la yod par lta ba'i shes rab nyon mongs can,...

(RY) 'jig lta,  [satkagadrsti] 
futile view. abbr. of {*} view to be impermanent, wrong view of the personality, wrong view believing in the real ""I"" in the perishable aggregates. futile view. belief in the transitory collection, [parikalpitasatkagadrsti] intellectual futile view, intellectual futile view; [abbr. of] {*} view of transitory [collection], futile view, perishable view; 
Def. by Jamgön Kongtrül: {'jig cing mi rtag pa du ma 'dus pa'i nyer len gyi phung po lnga la bdag dang bdag gi bar lta ba,}. view of the transitory collection [thd]

une connaissance perturbée qui vois un “je” et un “mien” comme réels dans les cinq agrégats, lesquels ne sont qu'un assemblage d'éléments multiples qui se détruisent d'instant en instant (GCLAvr93)",231
'jig lta kun brtags ,,,"La vue périssable d’un soi conceptuel (intègre en indépendant)
La vue (personnaliste ou éternaliste qui voit ) un soi conceptuel indépendant et intègre (dans les constituants).","vue acquise, artificielle, du destructible","(TDC) 'jig lta kun brtags, 
grub mtha' smra ba kho nas bdag tu btags pas te, rtag gcig rang dbang can gyi bdag gam, gang zag rang rkya thub pa'i rdzas yod du 'dzin pa'i lta ba rnams so,...
 (RY) 'jig lta kun brtags :
Def. by Jamgön Kongtrül: {bshes gnyen ngan pa la brten nas phung po las don gzhan pa'i bdag rtag par lta ba mu stegs can rnams kyi gtso bo lta bu'o,} 

vues fabriquées par les doctrines philosophiques : maintenir l'existence d'un personne permanente, unique et indépendante, ou existant substantiellement et se suffisant à elle-même (GCLAvr93)",232
'jig lta lhen skyes ,,,Vue périssable d’un soi inné.,vue innée du destructible,"(TDC) 'jig lta lhan skyes, 
sems can rnams la thog ma nas lhan skyes su yod pa'i nga dang nga yir 'dzin pa'i bdag 'dzin ma rig pa,...

ignorance existant depuis toujours dans chaque être et qui appréhende un moi et un mien (GCLAvr93)",233
'jug yul ,pravrittiviṣaya ,,Objet d’application,"objet d'engagement, principal objet d'appréhension","(RY) 'jug yul :
the object of the undertaking. [prarsttiviraga] the engaged object, object of operation, engagement. as one of the four types of objects, object of purposeful action. object of application, * [thd]. object of application [ggd]

 ex : l'objet d'engagement de la conscience visuelle est la forme (GCLAvr93)
valable aussi pour les consciences conceptuelles.",234
'jog sgom ,sthāpyabhāvanā,,"méditation contemplative,","méditation contemplative, stabilisatrice",une méditation dans laquelle l'esprit est posé sans distraction sur son objet (GCLAvr93),235
rjes ,,subsequent (SL BP),,,,236
rjes khyab ,anvayavyapti,positive entailment (SL BP),Inclusion positive,inclusion ,"(TDC) rjes khyab, 
rtags gsal gyi sbyor ba 'god pa'i tshul gnyis pa, de sgrub kyi mthun phyogs kho na la yod pa nyid du tshad mas nges paste, byas pa yin na mi rtag pa yin pas khyab pa dang, du ba yod

(RY)  rjes khyab :
forward pervasion. [anvayavyapti] [positive] pervasion. forward pervasion [ggd]",237
rjes thob ye shes ,pṛṣṭhalabdha jñāna,,"La gnose subséquente (à la contemplation),
Gnose post contemplative,
La gnose de l’après l’état de contemplation.","la connaissance primordiale post-méditative, subséquente, succedant à l'état d'absorbtion, de réalisation subséquente, d'après-méditation ",c'est la connaissance primordiale obtenue par la force de l'établissement méditative qui s'applique à tout connaissable (GCLAvr93),238
rjes dpag ,anumāna,,Inférence,"connaissance d'inférence, inférencielle, cognition valide d'inférence, imaginée",c'est une connaissance qui connaît un phénomène caché par le moyen d'un raisonnement (GCLAvr93),239
"brjod bral 
= brjod med 
= brjod las 'das pa 
= brjod du med pa 
→ smra bsam brjod med ",,,"Indicible, inexprimable,",,,240
Nya ,,,,,,241
nyan thos ,śrāvaka,"shrāvaka (hearer) (SL BP)
proclaimer (SL MW)",Les Auditeurs,"les Auditeurs, disciples, ceux qui entendrent (l'enseignement jusqu'à un certain point)","déf : c'est une personne qui ne pratique pas prioritairement le canon du grand véhicule mais recherche principalement sa propre libération du cycle des existences 
Parce qu'ils entendent et écoutent des enseignements des bouddhas et d'autres et parce qu'ils le proclament à autrui, ils sont appelés des Auditeurs (GCLAvr93)
ceux qui se contentent d'écouter et de prêcher",242
nyan thos kyi theg pa ,,,Le véhicule des Auditeurs,,"le véhicule des Auditeurs qui mène aux quatre états de sainteté:
1) celui qui est entré dans le courant
2) celui qui ne revient qu'une fois
3) celui qui ne revient plus
4) le destructeur de l'ennemi (GCLAvr93)",243
"nyams 
= nyams pa ",anubhava,meditative experience (SL MW),"Expérience,
Expérimenter,
Eprouver (une sensation, expérience)","expérience, sensation, sentiment de 
expérience spirituelle, méditative, intérieure, expérimenter, expérience
l'allure, l'attitude, la manière
endommagement, transgression, s'écrouler, dégénérer, chute, défaut, abimer, corrompre, déficience, fâner, violations (et corruptions), avachis, les dommages, délabré, dépravé, détériorations, ruine, mauvais, corruption morale, perverti, altérer gravement, débaucher, avilissement, diminution, dépérir",,244
nyams rtogs ,,,Expériences et réalisation,expérience(s) (méditatives) et réalisation(s),,245
"nyams len 
= nyams su len pa 
",anubhava,,"Pratiquer, faire la pratique de… Mettre en pratique,
Cultiver l’expérience","pratiquer, mettre en pratique, cultiver par l'expérience, notre propre expérience, pratique, expérience méditative, faire l'expérience de, application, intégration","(TDC) nyams su len pa : 
lag len byed pa,...las don rang gis nyams su blangs na gzhan la skul lcag thebs yong,...
",246
nying mtshams sbyor ba ,,,Se réunir encore (la conscience avec la matrice de naissance),"faire la jonction avec une nouvelle vie, c-a-d l'entrée dans la matrice ","(TDC) nying mtshams sbyor ba :
yang yang skye srid du mtshams sbyor bas te rnam shes mngal du 'jug pa,...
",247
nye ba'i mtshams med lnga ,,,Les cinq (actes aux consequences) quasi immédiats.,les cinq crimes secondaires,"dont les conséquences sont immédiates :
1) abuser d'une nonne qui est arhati
2) tuer un bodhisattva (nges gnas ???)
3) tuer un pratiquant
4) dérober les biens de la communauté
5) détruire un stūpa (GCLAvr93)",248
"nyer len 
= nye bar len pa ",upādāna,nyer len gyi rgyu : substancial cause  (SL BP),"La saisie complète
La grande saisie","cause originelle, la cause d'une cause, cause substantielle 
faire advenir
croire 
complet
spécial
saisir, se saisir de (fortement), se démener pour
perpétuer, perpétuité
approcher, aspirer à","(TDC) nyer len, 
nye bar len pa ste, rang rgyud rgyun mi 'chad par yang yang bskyed cing mchog tu 'dzin pa,...rje btsun mthu dang ser bas lob pa'i nyer len gyi rkyen ci lta bu zhig byung,...

La « saisie supérieure » de son propre courant existentiel apparaissant encore et encore sans solution de continuité…",249
nyer len gyi phung po ,upādānaskandha,,Les constituants de la (grande) saisie,les agrégats d'attachement ,ce sont des aggrégats impurs qui sont engendrés par les actes et les pertubations antérieures et qui mènent aux actes et aux perturbations ultérieures (GCLAvr93),250
nyon mongs ,kleśa,emotion (SL MW),"Passions,
Emotions conflictuelles","perturbations, passions, émotions (conflictuelles), perturbatrices, affligeantes, destructrices, conflits émotionnels, afflictions mentales,","c'est un facteur mental qui détruit la paix de l'esprit (GCLAvr93)
“si on les écoute, on devient stupide, elles nous rendent stupide”",251
nyon mongs pa’i sgrib pa,,afflictive obscuration (SL BP),Le voile des passions,,,252
nyon mongs pa'i bdud ,kleśamārā,,Le démon des passions,"démon, malfaisance des passions, maux, méfaits des passions 
négativité des émotions conflictuelles","les obstacles à ce qui est positif, venant de grandes passions telles que le désir ou l'aversion (GCLAvr93)",253
nyon yid ,kleśamanas,afflictive mind (SL BP),"Le mental perturbé, troublé,",peut se traduire par “conscience troublée”,"dans le systême “idéaliste” d'Asaṅga, c'est une conscience première neutre qui conçoit la “conscience base de tout” comme un “je” existant et auto suffisant (GCLAvr93)",254
"gnyis med 
= gnyis su med pa 
= mi gnyis 
= tha mi dad ","advaya, advaita, advitiya",Nondual (SL BP),"Sans dualité,
 Non duel,
","non duel, non séparation, non deux, sans dualité, état de non division, sans distinction, non dualité, sans la dichotomie sujet-objet, indivisible, sans distinctions dualistes, non différent, pas distincts",,255
"gnyis 'dzin 
= gnyis su 'dzin pa 
= gzung 'dzin ",,,"Saisie dualiste, 
 Saisie duelle,
","fixation, saisie, attachement, croyance, appréhension, s'accrocher, pensée sujet-objet, dualiste, à la dualité, duelle, doute, dualisme, séparation (dichotomique), dichotomie, diérèse, dualité, division
= perception dualiste",appréhension des extrêmes d'éternalisme et de nihilisme (GCLAvr93),256
gnyug ma ,"nivasita, nīja, nija",,Etat naturel (de l’esprit),"naturel, nature (absolue, essentielle et innée, spontanée), état inné, nature de base, fondamental, originel, authentique, est présent à l'intérieur, au demeurant, flot, état naturel, toujours présent, esprit primordial continuel, l'inné
état premier, fondamental de l'esprit, mode d'être ",,257
"mnyam nyid 
 = mnyam pa nyid ",samatā,equality (SL MW),"Egalité,
Grande égalité","égalité (de toutes choses dans la vacuité), équanimité, également, équipose, identique, égal (à), le même, unité, impartialité, état d'égalité, identité (au travers de chaque forme), grande égalité, nature égale",,258
mnyam pa nyid kyi ye shes ,samatājñāna,pristine wisdom of equality (SL MW),Gnose de l’égalité,"intelligence primordiale de l'égalité, de l'équanimité",,259
mnyam rdzogs,,,Egalité parfaite,"perfection d'égalité, état où tout est parfait dans l'égalité
simultanément parachevé, parfait",,260
"mnyam bzhag 
= mnyam par 'jog pa ",samāhita,,"Contemplation
Position d’égalité, d’équanimité (de l’esprit),
Demeure équanime.","absorption, égalité méditative, état de méditation égale, contemplation, équipose, méditation assise, équanimité, établissement égal, pensée égale, pensée au repos, demeurer de façon égale dans cet état, vue, relaxation de corps et d'esprit, établi également, équilibre méditatif, accès à l'égalité, reposer à l'équilibre","(TDC) mnyam bzhag :
  (sam'ahita:) cha mnyam par bzhag pa ste, ting nge 'dzin sgom skabs gang zag dang chos kyi bdag med pa'i stong pan yid la sems rtse gcig tu dmigs nas mnyam par bzhag pa,...
 
(RY)  mnyam bzhag :

1) composure; meditation state, equipoise; *; evenly resting; equanimity, [formal] meditation; period / state of contemplation, the state of even contemplation. 
2){*} to leave [the mind] in equanimity, to rest in equipoise / evenness. 
3) [mudra of] equanimity, evennessstabilité méditative dans laquelle l'esprit est unifié sur son objet",261
"mnyam bzhag ye shes 
= mnyam bzhag gi ye shes",,,"Gnose de la contemplation
Expérience primordiale de la contemplation","la connaissance primordiale de l'égalité méditative 
l'intelligence primordiale de l'absorption méditative, de la méditation assise",,262
"rnyed bkur 
= rnyed pa dang bkur sti ",,,Gains et honneurs,"gain, (attaché aux) offrandes, profit, plaisirs personnels, cadeaux, gain de statut, position, richesse, pouvoir, récompense
et/ou
respect, célébrité pour soi-même, gloire, faveurs, privilèges, honneurs, admiration, renommée, reconnaissance, approbation, considération, déférence, estime, hommage, vénération",,263
snyigs ma lnga ,pañcakaṣāya,,"Les cinq résidus,
Les cinq dégénérescences",,"(TDC) snyigs ma :
1) ro ma,...dvangs snyigs dbye ba phye ba,...margyi snyigs ma,...chu snyigs,...sman snyigs,...snyigs ma'i duskyi rgyal srid skyong dka' ba,...
2) lhag ma dang tha ma,...zogsnyigs,...'bru snyigs,...

snyigs ma lnga, tshe'i snyigs ma dang, nyon mongs pa'i snyigs ma, sems can gyi snyigs ma, dus kyi snyigs ma, lta ba'i snyigs ma rnams so,...

Les cinq dégénérescences :
1) de la longévité
2)  des passions 
3)  des vivants
4)  des temps
5)  des vues",264
snyigs ma'i dus ,kaṣāyakala,,"L’époque résiduelle
L’époque dégénérée","époque de la dégénérescence, âge résiduel ",,265
"snying 
","hṛdaya, hṛdi, citta, garbha, sāra, maṇḍa, kunda, mādhya",,"Cœur, essence","cœur,esprit, cœur-esprit, noyau (de la réalité), quintessence, le meilleur de qqch, cardinal, réalité intérieure, cœur essentiel, venir du cœur, du plus profond, au centre, racine, source, l'essence extraite nûment dépourvue de coque, le contenu essentiel de qqch
le cœur (organe)
le cœur même de, extrait, suprême, la quintessence, l'essentiel (hṛdaya)
embyon, essence (sāra)
essence, crème, quintessence, la moëlle, sève (kunda)
centre, essence (maṇḍa)
le sens principal",,266
snying po,,,"Essence, cœur du sujet, quintessence, essentiel,",,"(RY)  snying po 
1) essence, core, a solid core, heart of matter, pith, heart, substance, quintessence, e.g., snying po bgrongs, Recite the essential [mantra]!. 2) center. 3) central meaning, purpose, sense, perspective, inner reality. 4) syn {bde gshegs snying po} 5) grain, seed, kernel. 6) circle, orb, e.g.,  {nyi ma'i snying po} the orb of the sun. 7) central, essential, quintessential, meaningful; 8) essence mantra. 9) energy pulse, nucleus. nucleus of reality. // 1) heart, ""hridaya"" Skt. 2) embryo, ""garbha"" Skt. 3) essence, ""sara"" Skt. 4) mind, ""chitta"" Skt. Comp {snying po med pa}",267
snying rje ,karuṇā,,"Bonté, Bon cœur, compassion, amour ","compassion, amour, miséricorde, cœur, charité, caritas, pitié, noblesse de cœur, grandeur de cœur, magnanimité, ","un des quatre infinis, l'aspiration à ce que les êtres soient libres des souffrances causées par les maladies et autres (GCLAvr93)",268
snying rje tchen po ,mahākaruṇā,,"Immense bonté
Immense compassion","compassion universelle, grande, immense, considérable, extraordinaire, vaste, inouïe, fabuleuse, profonde compassion",c'est la pensée qui aspire à libérer les êtres de la causalité du malheur (GCLAvr93),269
snying rje gsum ,,,"Les trois bontés, compassions","les trois formes, niveaux de compassion","1) la compassion simplement dirigée vers les êtres, c'est-à-dire sans distinction de caractéristiques quant à leur impermanence et à leur irréalité 
2) la compassion dirigée vers les phénomènes, c'est dire celle qui est associée à la sagesse qui réalise l'impermanence 
3) la compassion qui est dirigée vers l'absence de nature propre (GCLAvr93)",270
snyen rgyud ,karṇatantra,,Lignée orale,"transmission, tradition, lignée orale, chuchotée, de l'écoute",→ MMM p 30,271
"snyoms 'jug 
= snyoms par 'jug pa 
= snyoms par bzhugs pa ","samāpatti, samāhita",absorption (SL MW),Contemplation équanime,"absorption (méditative), demeurer en (un état d')équanimité, être absorbé (dans une concentration), état méditatif stabilisé, sérénité
entrer en l'union (inspirée par…), union sexuelle (réelle ou méditative)","déf : c'est une unification de l'esprit qui égalise l'esprit et les mentaux sur leurs objets de méditation 
Le terme s'applique surtout aux huit états d'absorption méditative qui suivent le calme mental (GCLAvr93)",272
"bsnyen bkur 
= bsnyen pa dang bkur sti ",,,Services et honneurs,"approcher (faire des offrandes), respect, servir et respecter, offrir son service respecteux
plaisirs personnels et respect, honneurs, bénéfices",,273
bsnyen pa ,"asevita, sevā",,(Pratique de) familiarisation (avec une déité),"(pratique de) familiarisation, d'approche, familiarité, connaissance (proche), approche, service rituel","(TDC) bsnyen pa :
1.snyen pa'i 'das pa dang ma 'ongs pa, 2.yi dam lha dang nye bar 'grogs pa'i spyod pa,...bsnyen pa skyel ba,...bsnyen pa gtong ba,...

(RY)  bsnyen pa :
1) recitation; mantra, ritual for the propitiation, Ritual service, one who serves, render service, to serve/ please. 
2) (stage of) approach, Approach, Approach recitation; familiarization, initiatory retreat. 
3)  pf. & ft. of {snyen pa} to approach, come near; [mss] 

lors de la pratique d'une divinité en retraite (GCLAvr93)",274
Ta ,,,,,,275
